user_time,system_time,cpu_percent,wallclock_time,max_rss
164.545,7.390,99.77%,172.340,2304
166.817,3.879,99.98%,170.737,2304
170.864,0.000,99.87%,171.091,2176
165.178,4.470,99.91%,169.797,2304
166.096,3.180,99.98%,169.314,2176
164.201,7.685,99.87%,172.118,2176
167.164,3.854,99.92%,171.151,2176
164.332,7.956,99.98%,172.327,2304
171.194,0.000,99.93%,171.315,2304
164.528,7.891,99.91%,172.578,2304
161.665,8.681,99.98%,170.385,2176
158.713,11.420,99.95%,170.211,2176
158.344,12.780,99.91%,171.279,2176
166.341,3.775,99.85%,170.372,2304
170.735,0.000,99.96%,170.799,2176
167.365,3.881,99.95%,171.327,2304
169.199,0.000,99.98%,169.240,2304
171.131,0.000,99.96%,171.201,2176
170.721,0.000,99.90%,170.889,2176
170.989,0.000,99.98%,171.029,2304
164.889,8.804,99.95%,173.772,2176
172.535,0.000,99.98%,172.573,2176
167.698,4.385,99.94%,172.179,2304
165.644,4.513,99.86%,170.399,2560
197.102,3.104,99.75%,200.711,2304
165.829,3.059,99.96%,168.956,2176
174.431,0.000,99.95%,174.525,2304
162.065,8.790,99.95%,170.943,2176
165.208,6.916,99.92%,172.254,2304
162.160,7.048,99.95%,169.290,2176
170.461,0.037,99.98%,170.535,2304
170.572,0.916,99.92%,171.621,2304
165.835,3.787,99.88%,169.827,2304
167.367,3.472,100.00%,170.845,2176
161.090,9.161,99.93%,170.371,2176
169.134,0.507,99.93%,169.754,2176
169.600,0.000,99.98%,169.640,2176
165.085,4.992,99.93%,170.192,2304
163.472,7.253,99.91%,170.871,2304
169.176,4.675,99.98%,173.893,2304
164.099,7.696,99.91%,171.953,2304
166.914,3.321,99.63%,170.869,2304
171.653,0.000,99.99%,171.662,2304
172.496,0.000,99.96%,172.562,2176
171.236,0.000,99.85%,171.489,2304
171.104,0.000,99.97%,171.151,2304
164.011,7.658,99.99%,171.693,2304
169.012,3.783,99.83%,173.088,2304
153.878,16.835,99.98%,170.744,2560
166.866,4.852,99.92%,171.850,2304
162.497,8.345,99.93%,170.959,2304
162.771,7.224,99.98%,170.024,2176
166.162,3.653,99.98%,169.854,2304
168.731,3.767,99.85%,172.754,2176
171.086,0.629,99.94%,171.821,2176
170.669,0.000,99.97%,170.713,2304
167.316,4.223,99.90%,171.708,2304
164.542,4.537,99.95%,169.164,2304
168.713,0.600,99.97%,169.356,2176
170.697,0.000,99.88%,170.896,2176
172.133,0.517,99.98%,172.679,2304
171.256,0.000,99.98%,171.296,2176
168.820,0.815,99.93%,169.762,2304
167.230,4.260,99.76%,171.911,2304
167.462,4.399,99.96%,171.922,2176
168.140,3.821,99.90%,172.132,2304
171.350,0.000,98.92%,173.215,2304
168.828,0.000,99.96%,168.899,2304
164.247,4.744,99.95%,169.078,2304
171.171,3.502,99.88%,174.889,2304
169.964,3.339,99.32%,174.493,2304
167.876,3.762,99.88%,171.838,2176
168.159,4.964,99.93%,173.238,2304
161.191,10.539,99.96%,171.799,2176
164.636,7.815,99.76%,172.862,2176
163.751,7.596,99.91%,171.497,2176
168.283,3.329,99.94%,171.723,2176
167.691,3.388,99.78%,171.457,2176
158.454,12.102,99.95%,170.646,2304
163.757,7.595,99.91%,171.501,2304
169.977,0.000,99.80%,170.312,2176
166.156,7.154,99.95%,173.404,2176
172.068,0.000,99.84%,172.336,2304
167.446,3.280,99.79%,171.080,2304
166.782,3.365,99.98%,170.185,2176
164.889,7.053,98.79%,174.051,2176
167.871,4.011,99.98%,171.914,2176
165.848,4.688,99.97%,170.595,2304
169.978,0.000,99.78%,170.349,2304
169.783,0.756,99.89%,170.723,2304
162.058,7.435,99.94%,169.590,2304
164.610,7.710,99.90%,172.498,2176
166.332,7.502,99.91%,173.985,2176
163.190,8.619,99.88%,172.020,2304
172.965,0.000,99.90%,173.145,2304
168.890,4.105,99.94%,173.097,2176
162.385,11.169,99.96%,173.625,2304
169.229,0.000,99.90%,169.398,2304
165.358,4.675,99.91%,170.194,2304
166.879,3.293,99.97%,170.215,2304
163.404,7.517,99.78%,171.303,2176
168.585,4.018,99.94%,172.715,2304
173.566,0.008,99.98%,173.613,2304
161.353,8.488,99.96%,169.912,2304
169.611,0.512,99.89%,170.315,2176
171.810,3.796,100.00%,175.614,2176
168.456,3.824,99.92%,172.423,2304
167.366,4.708,99.93%,172.191,2304
201.921,0.000,99.81%,202.297,2304
163.348,8.396,99.95%,171.828,2304
169.617,0.000,99.98%,169.657,2304
162.911,7.487,99.95%,170.483,2304
169.717,0.675,99.98%,170.433,2304
167.720,3.561,99.94%,171.384,2176
172.135,0.000,99.88%,172.347,2432
162.429,7.314,99.96%,169.813,2304
171.176,0.000,99.98%,171.203,2304
160.343,8.996,99.96%,169.415,2304
160.980,9.034,99.97%,170.067,2304
171.349,0.000,99.91%,171.503,2304
171.409,0.000,99.86%,171.650,2304
172.192,0.000,99.98%,172.231,2176
166.463,3.649,99.98%,170.151,2304
166.563,7.238,99.76%,174.214,2176
162.584,7.558,99.96%,170.213,2176
161.614,8.669,99.94%,170.391,2304
174.305,0.038,99.89%,174.534,2304
169.053,4.069,99.95%,173.209,2304
165.288,5.075,99.98%,170.404,2304
165.222,4.568,99.91%,169.945,2304
170.735,0.789,99.97%,171.568,2304
164.562,4.886,99.88%,169.656,2304
169.426,0.000,99.83%,169.709,2304
170.253,0.800,99.98%,171.095,2176
168.271,3.375,99.64%,172.262,2304
164.077,4.677,99.91%,168.902,2304
158.270,12.675,99.96%,171.015,2304
216.958,0.000,99.79%,217.413,2304
168.623,5.244,99.93%,173.983,2304
168.692,0.710,99.93%,169.518,2176
162.985,7.285,99.80%,170.616,2304
168.050,3.290,99.93%,171.465,2304
172.915,1.143,99.88%,174.259,2304
157.605,12.333,100.00%,169.946,2176
168.143,3.785,99.95%,172.010,2176
166.794,4.538,99.91%,171.482,2176
167.699,4.301,99.96%,172.076,2304
165.664,4.336,99.95%,170.087,2304
161.417,8.091,99.85%,169.770,2176
167.859,4.625,99.05%,174.137,2176
171.357,0.000,99.98%,171.397,2560
162.901,7.523,99.91%,170.573,2304
185.167,0.000,99.91%,185.342,2304
163.063,7.733,99.94%,170.903,2176
166.450,4.823,99.90%,171.453,2304
165.437,4.179,99.99%,169.641,2304
168.164,3.617,99.95%,171.874,2304
169.685,1.139,99.96%,170.893,2176
158.714,11.234,99.97%,169.991,2304
167.483,3.793,99.98%,171.313,2304
161.696,8.595,99.98%,170.333,2304
164.790,7.346,99.94%,172.243,2304
171.525,3.585,99.98%,175.142,2304
168.530,3.802,99.98%,172.373,2304
167.355,4.469,99.93%,171.942,2304
171.759,0.361,99.90%,172.301,2304
179.312,7.269,99.67%,187.201,4992
170.592,3.325,99.92%,174.063,2176
165.151,7.716,99.97%,172.917,2176
171.685,0.000,99.96%,171.753,2176
173.227,0.774,99.91%,174.158,2176
169.315,3.413,99.43%,173.727,2304
165.531,4.750,99.99%,170.292,2304
167.452,3.631,99.90%,171.247,2432
167.015,4.059,99.84%,171.343,2304
162.442,8.800,99.98%,171.271,2176
166.552,4.680,99.88%,171.434,2304
162.423,7.284,99.71%,170.205,2304
172.201,0.000,99.98%,172.242,2304
167.756,0.874,99.95%,168.716,2304
170.978,2.593,99.97%,173.629,2176
202.733,4.783,99.90%,207.727,2176
169.520,3.273,99.97%,172.837,2304
167.410,4.568,99.78%,172.355,2304
168.779,0.702,99.98%,169.518,2176
171.917,0.608,99.93%,172.638,2304
168.559,0.909,99.95%,169.548,2176
162.827,7.453,99.96%,170.356,2176
170.604,3.221,99.81%,174.157,2304
165.666,8.856,99.94%,174.620,2304
163.729,7.784,99.98%,171.554,2304
173.527,0.000,99.97%,173.575,2304
167.427,4.731,99.94%,172.258,2304
165.677,7.438,99.95%,173.206,2304
164.499,7.974,99.94%,172.585,2304
161.941,8.164,99.98%,170.146,2304
167.526,3.247,99.94%,170.878,2176
167.139,4.822,99.98%,172.004,2176
163.436,7.663,99.99%,171.108,2304
169.137,0.000,99.88%,169.348,2304
163.652,8.648,99.97%,172.351,2304
165.739,4.900,99.84%,170.913,2176
167.002,4.102,99.93%,171.226,2304
163.171,7.677,100.00%,170.855,2176
168.077,3.715,99.95%,171.885,2304
165.811,3.294,99.91%,169.260,2176
169.963,0.000,99.98%,169.991,2304
165.947,4.878,99.96%,170.900,2176
166.783,3.288,99.88%,170.268,2304
167.558,4.377,99.98%,171.975,2176
195.213,3.691,99.81%,199.279,2176
168.916,5.144,99.83%,174.350,2304
167.145,3.413,99.95%,170.642,2176
163.648,7.692,99.91%,171.500,3456
173.365,0.000,99.90%,173.531,2304
167.296,2.947,99.72%,170.727,2304
164.796,8.063,100.00%,172.865,2176
167.217,3.684,99.88%,171.105,2304
169.125,4.532,99.94%,173.764,2304
169.709,6.919,99.98%,176.666,2304
162.313,7.619,99.92%,170.066,2304
166.006,4.854,99.93%,170.987,2304
171.494,0.939,99.90%,172.599,2304
162.819,7.546,99.90%,170.531,2176
164.288,7.797,99.92%,172.226,2176
164.972,8.475,99.96%,173.519,2304
164.557,7.876,99.98%,172.471,2176
168.961,0.631,99.94%,169.689,2304
164.480,4.612,99.90%,169.268,2176
171.467,0.068,99.95%,171.614,2304
169.559,0.000,99.94%,169.667,2176
169.863,3.285,99.93%,173.275,2304
166.880,4.375,99.96%,171.322,2304
170.227,0.000,99.82%,170.527,2304
153.021,16.617,99.96%,169.702,2304
169.698,0.550,99.99%,170.257,2304
171.272,3.217,99.98%,174.529,2176
170.877,0.599,99.78%,171.850,2304
169.666,0.000,99.98%,169.706,2304
189.469,12.707,99.90%,202.384,2304
167.549,3.877,99.88%,171.632,2176
162.698,8.655,99.98%,171.393,2304
168.769,0.425,99.94%,169.296,2304
158.922,12.007,99.56%,171.680,2176
163.977,4.568,99.96%,168.615,2304
169.851,3.431,99.98%,173.323,2304
165.514,4.690,99.62%,170.861,2304
167.606,3.636,99.98%,171.272,2304
166.332,3.354,99.97%,169.729,2304
168.677,0.748,99.92%,169.569,2304
171.274,8.333,99.96%,179.685,4992
172.048,0.904,99.97%,173.010,2176
169.691,3.689,99.89%,173.564,2176
163.027,7.421,99.95%,170.536,2176
199.071,0.532,99.82%,199.968,2304
167.341,3.849,99.91%,171.336,2176
162.292,7.952,99.86%,170.482,2304
163.906,4.864,99.94%,168.872,2304
159.857,11.917,99.95%,171.859,2304
166.745,4.306,99.88%,171.262,2176
170.418,0.000,99.96%,170.482,2176
170.327,0.000,99.91%,170.481,2176
169.475,0.887,99.94%,170.462,2176
172.947,0.000,99.94%,173.057,2304
165.702,3.214,99.96%,168.991,2176
167.165,3.049,99.91%,170.360,2304
169.573,0.644,99.97%,170.261,2304
166.402,3.487,99.95%,169.982,2176
166.836,4.027,99.92%,171.003,2176
167.458,4.242,99.94%,171.802,2304
170.820,0.650,100.00%,171.475,2176
167.355,3.458,99.92%,170.946,2176
163.320,7.129,100.00%,170.457,2176
172.884,0.000,99.96%,172.956,2304
173.977,0.000,99.92%,174.110,2304
166.930,3.336,99.94%,170.370,2304
167.078,3.617,99.94%,170.801,2304
170.651,0.831,99.96%,171.557,2304
168.115,3.541,99.98%,171.697,2304
171.498,0.000,99.96%,171.563,2304
172.269,0.370,99.91%,172.797,2304
164.328,7.910,99.98%,172.277,2304
167.171,4.826,99.96%,172.070,2176
193.735,3.757,99.82%,197.846,2304
171.065,0.000,99.92%,171.208,2304
167.054,3.420,99.98%,170.505,2304
170.209,2.935,99.91%,173.306,2304
164.377,4.570,99.91%,169.094,2304
169.114,1.170,99.94%,170.382,2176
163.012,8.102,99.98%,171.154,2176
163.318,7.203,99.91%,170.667,2304
166.667,4.661,99.57%,172.065,2304
172.179,0.000,99.93%,172.302,2304
166.062,4.619,99.92%,170.814,2432
166.093,4.479,99.96%,170.644,2304
163.545,7.882,99.94%,171.536,2304
166.837,4.845,99.92%,171.824,2304
166.916,3.354,99.96%,170.345,2304
171.126,0.471,99.98%,171.636,2304
166.219,4.977,99.92%,171.328,2304
162.216,8.798,99.95%,171.105,2176
161.834,7.378,99.98%,169.252,2304
163.762,8.349,99.97%,172.168,2176
173.193,0.000,99.87%,173.414,2176
164.987,4.790,99.97%,169.822,2304
163.055,7.807,99.94%,170.972,2304
174.040,0.231,99.95%,174.364,2304
171.624,0.000,99.96%,171.696,2304
172.701,0.000,99.98%,172.740,2304
170.348,0.920,99.84%,171.551,2304
166.140,7.410,99.96%,173.625,2176
159.127,13.495,99.28%,173.866,2304
205.803,7.291,99.73%,213.676,2176
165.143,4.018,99.99%,169.170,2304
169.181,3.627,99.93%,172.925,2176
167.358,3.397,99.94%,170.863,2176
166.036,3.178,99.96%,169.288,2176
170.876,0.000,99.94%,170.978,2304
169.238,0.714,99.97%,169.996,2304
169.365,0.731,99.97%,170.141,2176
170.302,0.000,99.58%,171.025,2304
168.522,3.688,99.98%,172.253,2304
166.778,3.003,99.91%,169.940,2304
165.976,4.564,99.98%,170.581,2176
172.272,0.199,99.98%,172.510,2176
173.535,0.024,99.95%,173.637,2304
163.118,7.712,99.90%,170.999,2176
179.313,3.772,99.90%,183.274,2304
159.254,11.326,99.91%,170.732,2304
163.676,7.871,99.98%,171.590,2304
161.207,8.526,99.96%,169.803,2176
166.464,4.435,99.90%,171.065,2304
166.806,3.945,99.72%,171.226,2304
165.575,4.195,99.99%,169.780,2304
155.471,15.642,99.62%,171.760,2176
167.011,3.329,99.98%,170.378,2176
170.274,0.395,99.99%,170.678,2304
165.686,7.470,99.76%,173.580,2304
166.136,3.270,99.93%,169.525,2304
163.534,7.315,99.96%,170.915,2432
170.822,0.000,99.89%,171.015,2304
169.162,0.593,99.94%,169.855,2304
162.941,7.278,99.98%,170.258,2176
165.249,4.590,99.96%,169.911,2304
159.961,8.497,99.90%,168.632,2304
173.516,0.135,99.98%,173.692,2304
161.821,7.175,99.92%,169.132,2304
168.066,3.770,99.78%,172.214,2176
165.997,4.212,99.97%,170.253,2176
163.129,7.165,99.95%,170.387,2176
169.188,0.977,99.90%,170.327,2304
171.041,0.000,99.96%,171.103,2304
173.024,1.139,99.91%,174.314,2176
161.597,8.122,99.94%,169.821,2176
170.440,0.615,99.96%,171.124,2304
167.488,4.853,99.92%,172.480,2304
202.246,4.118,99.80%,206.788,2304
169.522,3.721,99.96%,173.318,2304
169.303,0.920,99.96%,170.292,2176
163.666,7.636,99.95%,171.381,2560
163.947,8.398,99.95%,172.426,2176
165.214,4.814,99.93%,170.154,2304
163.909,7.401,99.97%,171.353,2304
166.303,3.550,99.92%,169.988,2176
162.370,7.575,99.98%,169.987,2304
173.439,0.000,99.95%,173.527,2176
169.767,3.188,99.91%,173.106,2304
156.799,12.895,99.94%,169.800,2304
164.785,8.582,99.95%,173.448,2304
168.022,3.782,98.59%,174.257,2304
161.574,8.275,99.98%,169.886,2304
158.852,10.889,99.96%,169.810,2304
160.346,12.132,99.47%,173.389,2176
171.513,0.000,99.98%,171.543,2304
171.851,0.000,99.92%,171.986,2176
161.497,8.046,99.91%,169.694,2304
166.711,6.627,99.79%,173.707,2304
171.103,0.266,99.93%,171.496,2304
161.620,9.077,99.86%,170.939,2304
166.995,3.403,99.98%,170.436,2176
167.515,3.732,99.92%,171.376,2176
167.749,3.790,99.91%,171.698,2304
168.884,0.741,99.93%,169.749,2304
167.684,4.101,99.97%,171.840,2304
171.019,1.108,99.90%,172.295,2304
212.417,3.844,99.79%,216.708,2176
166.216,2.790,99.98%,169.040,2304
