user_time,system_time,cpu_percent,wallclock_time,max_rss
129.519,4.154,99.91%,133.789,2176
129.502,3.161,100.00%,132.666,1920
132.126,0.000,99.83%,132.348,2048
132.074,0.000,99.89%,132.218,1920
131.394,0.047,99.97%,131.474,2048
127.179,7.474,99.83%,134.881,2048
132.214,0.529,99.90%,132.869,2176
129.224,4.586,99.97%,133.846,2048
133.105,0.000,99.94%,133.187,1920
129.419,4.574,99.94%,134.077,1920
124.415,8.002,100.00%,132.420,2048
124.190,8.116,99.97%,132.342,2048
129.107,4.149,99.89%,133.407,2048
131.139,0.136,99.89%,131.423,1920
131.676,0.000,99.96%,131.734,2048
127.295,3.879,99.98%,131.205,1920
130.742,0.000,99.97%,130.778,1920
133.213,0.000,99.97%,133.249,1920
132.360,0.000,99.92%,132.465,2048
132.828,0.000,99.97%,132.864,2048
131.345,3.716,99.98%,135.094,2048
134.239,0.000,99.97%,134.274,2176
130.620,3.603,99.93%,134.315,2176
128.790,4.052,99.82%,133.078,2560
162.350,0.000,99.73%,162.783,2048
128.243,3.057,99.95%,131.363,1920
136.045,0.000,99.94%,136.133,2048
132.732,0.000,99.97%,132.767,2048
130.348,3.609,99.91%,134.082,1920
127.334,4.024,99.94%,131.437,2048
132.410,0.034,99.98%,132.477,1920
133.343,0.242,99.91%,133.712,1920
131.412,0.326,99.94%,131.812,1920
132.715,0.538,100.00%,133.255,2048
131.545,0.000,99.91%,131.660,2048
132.075,0.000,99.92%,132.184,2176
131.986,0.000,99.97%,132.021,2048
132.056,0.260,99.97%,132.360,1920
128.523,4.051,99.92%,132.682,1920
134.380,1.102,99.97%,135.519,2048
128.659,4.096,99.93%,132.848,1920
132.453,0.156,99.88%,132.775,1920
133.830,0.000,100.00%,133.834,1920
133.815,0.000,100.00%,133.816,2048
133.308,0.000,99.81%,133.557,2048
132.996,0.000,99.97%,133.038,1920
129.311,4.486,100.00%,133.800,2048
134.018,0.632,99.85%,134.847,1920
128.582,4.214,99.98%,132.823,2560
133.383,0.000,99.93%,133.479,1920
129.441,3.115,99.92%,132.666,2048
127.794,3.985,99.98%,131.803,2048
127.978,3.522,99.98%,131.533,2048
130.588,3.764,99.92%,134.465,2048
133.716,0.000,99.95%,133.788,1920
132.663,0.000,100.00%,132.667,1920
132.245,0.626,99.94%,132.955,1920
131.226,0.000,99.94%,131.307,2048
131.371,0.000,99.97%,131.409,2048
131.776,0.000,99.91%,131.898,2048
133.479,0.515,99.98%,134.020,1920
133.711,0.000,99.97%,133.747,2176
131.667,0.086,99.91%,131.873,1920
129.538,3.539,99.69%,133.492,1920
129.321,3.318,99.96%,132.696,1920
132.202,0.000,99.90%,132.329,1920
132.603,0.000,98.66%,134.399,2176
129.597,0.000,99.95%,129.664,1920
127.789,4.194,99.96%,132.034,2304
132.565,3.500,99.93%,136.166,1920
132.262,3.337,99.13%,136.785,2048
133.132,0.640,99.85%,133.968,2048
129.473,4.961,99.92%,134.544,1920
127.855,6.223,99.95%,134.144,2048
126.599,7.812,99.73%,134.780,2176
129.297,4.408,99.94%,133.791,2048
130.440,3.326,99.92%,133.874,2048
130.658,3.009,99.72%,134.040,2048
125.044,6.976,99.98%,132.042,1920
128.919,4.188,99.92%,133.207,2176
132.077,0.000,99.75%,132.408,2048
131.188,3.917,99.99%,135.123,2176
134.355,0.000,99.83%,134.582,1920
132.514,0.122,99.97%,132.670,1920
128.360,3.362,99.97%,131.756,2048
128.915,4.825,99.00%,135.095,2176
129.481,4.009,99.98%,133.518,2048
132.545,0.000,99.96%,132.598,1920
131.462,0.000,99.79%,131.736,2048
132.612,0.000,99.87%,132.789,1920
127.279,3.898,99.93%,131.268,1920
125.372,7.708,99.87%,133.252,2048
131.086,3.917,99.89%,135.150,2048
133.728,0.000,99.85%,133.933,1920
134.076,0.000,99.97%,134.117,1920
129.036,4.102,99.93%,133.235,2176
127.748,7.986,99.95%,135.803,2176
131.755,0.000,99.91%,131.875,1920
128.219,4.236,99.88%,132.612,1920
131.513,0.000,99.97%,131.550,2048
125.225,7.514,99.75%,133.076,2048
132.364,0.000,99.92%,132.471,1920
133.545,0.006,99.97%,133.586,1920
128.395,3.928,99.98%,132.346,2048
132.635,0.000,99.91%,132.757,2048
133.629,3.793,100.00%,137.427,2176
132.133,0.000,99.90%,132.272,1920
133.819,0.000,99.95%,133.885,1920
160.521,0.000,99.87%,160.733,1920
127.670,4.339,99.94%,132.087,1920
131.724,0.000,99.97%,131.759,1920
128.384,4.336,99.94%,132.800,1920
132.896,0.000,99.97%,132.932,1920
132.947,0.353,99.93%,133.400,2176
133.919,0.000,99.85%,134.127,2432
127.814,4.034,99.97%,131.881,2048
133.360,0.000,99.98%,133.384,2048
131.075,0.000,99.98%,131.101,2048
131.397,0.000,99.96%,131.445,2048
133.670,0.000,99.89%,133.819,1920
132.553,0.000,99.86%,132.743,1920
133.665,0.000,99.97%,133.700,2048
131.877,0.277,99.97%,132.189,1920
130.711,3.440,99.94%,134.226,2176
127.798,4.050,99.97%,131.884,2048
132.558,0.255,99.97%,132.849,1920
136.276,0.036,99.89%,136.457,1920
131.471,3.434,99.94%,134.985,2048
128.264,4.209,99.97%,132.509,1792
131.784,0.000,99.89%,131.932,1920
133.195,0.000,99.97%,133.233,2048
131.447,0.000,99.85%,131.650,1920
131.566,0.000,99.79%,131.846,1920
133.155,0.302,99.97%,133.492,2176
132.965,0.009,99.54%,133.587,1792
131.036,0.000,99.89%,131.179,1920
133.286,0.202,99.95%,133.553,1920
177.376,0.000,99.75%,177.826,1920
135.671,0.206,99.92%,135.990,2048
131.652,0.172,99.92%,131.934,2048
131.852,0.000,99.74%,132.194,1920
130.091,3.288,99.94%,133.464,1920
133.304,0.923,99.88%,134.389,2048
128.303,3.593,100.00%,131.900,2048
131.012,3.362,99.97%,134.408,2176
133.787,0.000,99.92%,133.900,2048
130.496,3.759,99.97%,134.293,2048
132.073,0.000,99.94%,132.154,2176
128.016,3.380,99.89%,131.542,2048
131.058,1.887,99.98%,132.974,2048
132.752,0.000,99.97%,132.787,2560
124.463,7.520,99.94%,132.058,2048
132.259,0.000,99.97%,132.303,1920
132.506,0.508,99.96%,133.073,2048
133.473,0.000,99.90%,133.611,1920
127.912,3.451,99.98%,131.384,1920
133.077,0.317,99.97%,133.431,1920
132.559,0.433,99.97%,133.029,2048
123.956,8.002,99.97%,131.996,2048
132.534,0.380,99.97%,132.949,2048
128.380,4.047,99.97%,132.465,1920
133.767,0.000,99.92%,133.870,2048
131.544,3.584,99.98%,135.153,1920
132.846,0.123,99.97%,133.006,2176
130.370,3.597,99.92%,134.079,2048
134.292,0.000,99.87%,134.468,2048
143.364,3.508,99.81%,147.159,4992
131.714,3.323,99.92%,135.149,2048
129.865,4.670,99.97%,134.581,2176
133.636,0.000,99.95%,133.698,2048
135.767,0.120,99.89%,136.041,2176
129.910,3.411,99.30%,134.267,1792
131.896,0.000,100.00%,131.899,2176
132.801,0.259,99.94%,133.138,2432
131.951,0.497,99.80%,132.713,2048
129.088,4.264,99.98%,133.377,2048
133.916,0.000,99.91%,134.034,2048
127.967,4.351,99.74%,132.661,1792
133.719,0.000,99.97%,133.755,2048
131.239,0.000,99.94%,131.320,1920
131.534,2.590,99.96%,134.177,2048
140.868,0.000,99.88%,141.031,2048
134.726,0.000,99.97%,134.761,2304
130.232,3.846,99.72%,134.451,2048
131.639,0.000,99.97%,131.673,2048
134.211,0.000,99.92%,134.317,2048
131.461,0.000,99.94%,131.535,2048
132.054,0.354,99.95%,132.480,2048
135.751,0.000,99.76%,136.078,1920
129.906,4.827,99.97%,134.770,1920
125.648,7.782,99.97%,133.466,1920
133.517,0.000,99.97%,133.559,1920
134.277,0.000,99.98%,134.302,1920
126.340,7.436,99.94%,133.862,2048
131.506,3.532,99.92%,135.145,2048
128.770,3.623,99.97%,132.429,1920
132.970,0.419,99.95%,133.461,2048
133.813,0.000,99.97%,133.852,2048
132.800,0.312,100.00%,133.115,2048
131.073,0.000,99.92%,131.172,1920
134.100,0.000,99.97%,134.145,1920
129.020,4.389,99.80%,133.676,2176
133.548,0.130,99.91%,133.794,1920
128.232,4.192,100.00%,132.429,2176
130.384,3.713,99.93%,134.185,1920
127.769,3.292,99.92%,131.170,2048
132.251,0.000,99.98%,132.276,1920
132.617,0.206,99.95%,132.894,2176
129.643,2.897,99.86%,132.730,1920
130.267,3.592,99.97%,133.893,2048
160.695,0.459,99.77%,161.524,1920
135.586,0.000,99.84%,135.806,1920
132.273,0.100,99.94%,132.453,2048
132.932,0.368,99.88%,133.455,3456
133.645,0.000,99.94%,133.726,1920
129.323,2.945,99.64%,132.747,1920
127.496,7.589,100.00%,135.088,2048
131.996,0.142,99.91%,132.253,2048
131.518,3.821,99.93%,135.440,2048
133.750,3.097,99.97%,136.882,2048
128.130,4.109,99.90%,132.369,1792
132.641,0.000,99.91%,132.763,1920
133.929,0.000,99.97%,133.965,2176
128.266,4.304,99.91%,132.695,2176
133.054,0.371,99.92%,133.528,2048
130.235,5.216,99.97%,135.491,1920
130.570,3.408,99.97%,134.012,2048
131.831,0.000,99.97%,131.868,2048
131.405,0.031,99.87%,131.607,2048
132.308,0.065,99.94%,132.446,1792
131.399,0.000,99.97%,131.434,2048
135.389,0.000,99.94%,135.464,1920
129.476,3.543,99.95%,133.080,2048
131.743,0.000,99.83%,131.970,1920
119.792,11.997,99.96%,131.847,1920
