user_time,system_time,cpu_percent,wallclock_time,max_rss
48.893,49.189,99.85%,98.229,30144
46.692,51.628,99.99%,98.326,30108
38.484,59.029,99.91%,97.600,30180
40.139,56.627,99.99%,96.771,30268
44.326,52.630,99.96%,96.992,30112
52.621,44.610,99.91%,97.317,30184
36.579,59.121,100.00%,95.704,29792
31.509,64.275,99.92%,95.864,29724
36.393,60.988,99.91%,97.467,30268
36.112,60.790,99.80%,97.091,30232
63.202,59.542,99.84%,122.938,30116
48.070,48.684,99.94%,96.810,30112
54.671,43.497,99.81%,98.354,30176
34.630,63.730,99.99%,98.366,30208
35.905,60.192,99.81%,96.283,29728
49.633,48.553,99.99%,98.199,30116
36.173,60.552,99.99%,96.731,30228
56.537,40.395,99.96%,96.968,30196
32.008,64.683,99.91%,96.776,30112
43.962,52.373,99.99%,96.341,29772
41.974,54.809,99.96%,96.826,30176
39.979,56.523,99.90%,96.603,29796
38.457,59.011,100.00%,97.470,30144
39.283,55.854,100.00%,95.139,29720
43.818,52.453,99.85%,96.417,29740
39.990,56.555,99.99%,96.552,30260
46.950,48.524,99.99%,95.480,29768
41.886,55.250,99.95%,97.188,30240
46.233,51.368,99.99%,97.606,30208
41.495,57.346,99.99%,98.847,30120
49.304,48.561,99.88%,97.986,30220
46.397,51.225,100.00%,97.625,30216
61.371,36.405,99.81%,97.964,30116
39.867,56.283,99.99%,96.155,29728
48.204,48.002,100.00%,96.210,29728
39.773,56.248,99.99%,96.027,29720
48.487,48.800,99.99%,97.293,30236
53.129,43.752,99.99%,96.886,30224
52.816,44.715,99.99%,97.543,30120
53.264,44.184,99.95%,97.498,30220
40.170,56.752,99.94%,96.978,30144
52.388,44.605,99.99%,96.998,30108
48.434,48.650,99.94%,97.139,30120
47.929,48.183,99.95%,96.163,30120
57.727,39.280,100.00%,97.010,30168
40.615,57.020,99.99%,97.642,30120
47.956,48.326,99.92%,96.357,29728
40.344,56.697,99.95%,97.088,30168
57.929,38.866,99.92%,96.872,30156
46.916,51.769,99.92%,98.760,30268
32.780,63.576,99.90%,96.454,29784
50.145,46.545,100.00%,96.690,29728
36.042,60.643,99.93%,96.754,30220
36.037,60.632,99.95%,96.719,30116
45.921,51.354,100.00%,97.280,30108
24.965,74.551,99.81%,99.703,30216
45.194,52.434,99.94%,97.688,30296
53.875,43.314,99.99%,97.195,30204
56.897,39.772,99.99%,96.675,30108
48.339,48.247,99.88%,96.702,29728
45.392,52.161,99.92%,97.630,30176
47.752,48.250,99.71%,96.281,29724
49.653,46.858,100.00%,96.514,30232
60.919,35.854,99.46%,97.301,30232
57.859,38.573,100.00%,96.436,30200
40.166,56.494,99.53%,97.117,30144
56.724,40.590,99.94%,97.370,30124
48.050,48.297,99.99%,96.354,30172
55.871,74.968,99.74%,131.174,29760
48.114,48.476,99.99%,96.596,30172
51.940,44.103,99.99%,96.049,30108
38.288,58.822,99.92%,97.191,30128
37.083,60.619,99.76%,97.934,30124
31.150,65.667,99.95%,96.869,29808
35.827,60.486,99.79%,96.514,29796
50.351,47.446,100.00%,97.802,30116
44.405,52.687,99.93%,97.163,30176
36.303,60.683,99.81%,97.168,30180
40.891,55.953,100.00%,96.849,30168
49.881,47.475,100.00%,97.359,30120
48.796,48.822,99.79%,97.819,30120
39.831,56.208,99.99%,96.045,29796
39.989,56.477,99.93%,96.538,30120
32.142,65.012,99.95%,97.205,30160
47.898,48.242,100.00%,96.144,30116
51.841,44.154,99.99%,96.007,29732
54.179,44.151,99.45%,98.872,30184
44.170,52.568,99.96%,96.779,30108
44.230,52.678,99.99%,96.913,30208
53.068,44.117,99.70%,97.479,30212
55.882,40.334,99.99%,96.227,30116
48.028,48.445,99.93%,96.541,30196
41.240,55.437,99.99%,96.683,30176
33.495,64.099,99.99%,97.600,30280
42.967,56.666,99.84%,99.789,30108
39.999,56.485,99.99%,96.490,29792
48.491,48.744,99.99%,97.240,30120
41.606,54.736,100.00%,96.342,30212
37.630,59.736,99.99%,97.373,30104
36.286,61.077,100.00%,97.368,30156
44.076,52.475,99.70%,96.843,29732
51.784,44.264,99.99%,96.054,30204
40.327,56.659,99.92%,97.061,30212
43.648,52.098,99.95%,95.793,29724
44.205,52.444,99.99%,96.654,30256
35.727,60.122,100.00%,95.853,29796
40.026,56.426,99.91%,96.543,30272
51.827,44.057,100.00%,95.888,30208
35.530,60.303,99.93%,95.902,29792
48.803,47.758,99.78%,96.778,30296
44.425,52.717,99.99%,97.147,30156
47.883,48.167,99.99%,96.056,30100
52.612,44.501,99.94%,97.166,30124
44.062,52.484,99.94%,96.607,29792
44.287,52.575,99.89%,96.971,29688
52.198,48.397,99.00%,101.608,29776
38.104,58.440,99.91%,96.633,29760
40.751,55.367,99.81%,96.304,29684
42.431,55.231,99.95%,97.708,30116
48.819,48.861,99.91%,97.766,30096
44.442,52.674,99.86%,97.248,30132
39.931,56.280,99.99%,96.217,30240
56.381,40.054,99.91%,96.526,30280
64.948,64.930,99.80%,130.138,29728
55.800,40.246,99.99%,96.051,30192
60.759,35.753,100.00%,96.516,30108
45.380,51.805,99.99%,97.196,30164
47.839,48.243,99.95%,96.128,29732
40.974,55.291,100.00%,96.268,29796
66.570,31.165,99.99%,97.740,30136
44.202,52.285,99.99%,96.493,29748
38.431,59.017,99.92%,97.523,30120
37.522,60.665,99.59%,98.594,30216
53.218,43.104,100.00%,96.324,29732
40.745,57.107,99.88%,97.966,30220
49.499,47.624,99.99%,97.129,30140
54.585,43.465,100.00%,98.054,30220
38.089,59.034,99.94%,97.180,30124
38.161,57.352,99.99%,95.518,29724
29.077,68.342,100.00%,97.423,30204
42.473,54.888,99.82%,97.540,30200
52.592,44.744,99.91%,97.425,30236
40.594,55.272,100.00%,95.869,29732
47.747,48.069,99.85%,95.957,29728
31.552,64.117,99.89%,95.776,29792
40.159,56.431,99.99%,96.596,30112
49.769,47.327,100.00%,97.099,29720
62.124,35.587,99.88%,97.825,30120
40.071,56.518,99.99%,96.595,29724
44.258,52.560,99.99%,96.824,30196
39.961,56.537,99.87%,96.619,29724
50.198,47.106,100.00%,97.308,30144
51.605,55.896,99.67%,107.862,30124
41.412,54.949,99.94%,96.416,30108
41.252,56.086,99.84%,97.497,30280
40.125,56.704,99.99%,96.835,30128
40.101,56.508,99.94%,96.668,30268
34.580,62.458,99.86%,97.174,30240
48.623,48.486,99.68%,97.421,30168
39.490,56.132,99.99%,95.628,29764
54.092,43.509,99.89%,97.704,30224
41.424,54.734,100.00%,96.159,29832
60.502,36.399,99.99%,96.907,30128
44.159,52.471,99.89%,96.738,30228
48.323,48.126,99.99%,96.454,29768
44.031,52.344,100.00%,96.379,30208
48.455,48.681,99.85%,97.281,30124
45.626,51.683,100.00%,97.311,30116
47.987,48.295,100.00%,96.286,29732
31.853,64.654,99.99%,96.513,29728
60.138,35.452,99.96%,95.624,29728
44.660,51.167,99.95%,95.875,30280
53.218,43.612,99.95%,96.880,30124
48.151,48.485,99.99%,96.642,30136
41.579,56.178,99.93%,97.821,29724
57.406,39.169,99.89%,96.677,30116
40.366,55.581,100.00%,95.950,29756
31.839,64.341,99.91%,96.266,30284
36.152,60.709,99.99%,96.867,29684
40.425,56.381,99.99%,96.811,30136
37.949,57.749,99.79%,95.899,29712
49.796,47.360,99.89%,97.262,30240
50.328,47.293,99.92%,97.699,30184
56.188,39.614,99.94%,95.862,29700
48.112,48.487,99.99%,96.605,30120
54.033,43.064,99.86%,97.235,30224
34.552,63.455,99.94%,98.063,30116
36.701,59.237,100.00%,95.942,29600
36.131,60.859,99.85%,97.137,30224
42.698,55.633,99.68%,98.645,30144
56.496,40.676,99.99%,97.178,30216
52.718,44.692,99.94%,97.464,30120
38.122,59.165,100.00%,97.291,30208
44.441,51.308,100.00%,95.750,29744
39.602,56.476,99.95%,96.126,29724
39.748,56.392,100.00%,96.143,29720
34.506,71.283,99.83%,105.972,30116
41.714,54.774,100.00%,96.493,30184
55.785,40.178,99.81%,96.148,29700
48.273,48.616,100.00%,96.894,30168
49.654,47.400,99.95%,97.100,30220
49.378,47.185,99.75%,96.803,29788
43.926,52.260,99.99%,96.192,30204
47.663,48.120,99.99%,95.790,29792
47.886,48.333,99.93%,96.291,30064
46.697,49.169,99.99%,95.871,29728
40.066,56.407,99.95%,96.518,30296
48.707,47.303,99.90%,96.102,29792
40.075,56.541,99.85%,96.759,30092
29.183,67.926,100.00%,97.114,30116
52.211,44.318,99.99%,96.535,30264
41.163,55.873,99.99%,97.042,30144
44.284,52.437,99.99%,96.727,30204
47.844,48.352,99.99%,96.201,29828
51.008,47.695,99.99%,98.709,30208
48.563,48.733,99.99%,97.301,30224
48.164,48.589,99.96%,96.788,30240
52.352,44.341,99.92%,96.774,30212
48.892,47.615,99.99%,96.513,30108
39.947,56.413,99.99%,96.366,29740
61.846,35.556,99.94%,97.458,30264
43.280,55.875,99.99%,99.161,30116
42.328,55.029,99.97%,97.386,30120
51.978,44.225,99.74%,96.455,29728
38.366,58.940,100.00%,97.310,30180
58.811,67.304,99.76%,126.424,30228
41.893,56.070,99.84%,98.118,30120
54.156,42.950,100.00%,97.110,30112
52.999,43.346,99.87%,96.468,30176
37.581,60.623,99.48%,98.715,30148
47.816,48.176,99.94%,96.054,30116
45.845,51.300,100.00%,97.148,30172
54.087,43.045,99.66%,97.463,29748
24.057,73.058,99.99%,97.122,30124
57.908,39.077,99.96%,97.024,30208
48.347,48.517,99.99%,96.870,30216
36.411,60.745,99.99%,97.161,30112
57.925,39.360,99.95%,97.334,30124
44.145,52.187,99.94%,96.385,30128
54.163,43.095,99.89%,97.370,30148
62.251,32.843,99.96%,95.128,29792
51.216,43.890,99.99%,95.111,29728
43.977,52.362,99.93%,96.406,30224
61.412,36.061,99.67%,97.792,30184
41.954,55.063,99.96%,97.052,30140
46.996,51.917,99.90%,99.007,30152
38.292,59.414,100.00%,97.709,30096
47.426,48.306,99.99%,95.737,29736
42.224,55.092,99.64%,97.672,30232
45.849,51.159,99.99%,97.013,30228
52.683,44.146,100.00%,96.833,30120
50.204,47.217,99.99%,97.427,30120
48.485,48.545,99.91%,97.115,30116
54.641,43.223,100.00%,97.867,30180
48.827,48.158,99.91%,97.074,30116
49.785,47.010,100.00%,96.797,30180
41.695,55.878,99.99%,97.585,30272
52.308,44.246,99.99%,96.560,30148
25.477,72.471,99.99%,97.953,29736
52.204,44.157,100.00%,96.365,29792
27.745,68.657,99.96%,96.445,29724
61.260,35.365,99.89%,96.727,29728
49.647,46.981,99.59%,97.030,30188
48.316,48.692,99.96%,97.050,30232
30.245,66.955,99.91%,97.285,30180
40.188,56.605,99.99%,96.799,30232
56.786,39.901,99.95%,96.733,30232
52.531,44.048,99.71%,96.860,29728
55.063,43.690,99.99%,98.759,30128
45.190,60.129,99.85%,105.475,30208
44.552,52.203,99.94%,96.817,30204
52.403,44.649,99.87%,97.175,30192
36.382,60.808,99.95%,97.240,30184
43.675,52.200,99.94%,95.928,29736
64.464,32.193,99.53%,97.109,30112
31.863,64.363,99.91%,96.309,29748
41.773,55.099,99.95%,96.919,30120
39.800,56.173,100.00%,95.977,29708
48.474,48.808,99.99%,97.288,30228
32.131,64.772,99.94%,96.958,30120
49.950,47.225,99.88%,97.287,30200
31.559,64.329,99.96%,95.924,29836
37.966,58.894,99.99%,96.865,30116
35.830,60.454,99.89%,96.389,29744
40.126,56.806,100.00%,96.936,30152
41.900,54.914,100.00%,96.817,30108
32.009,64.832,99.91%,96.927,30148
54.310,43.020,100.00%,97.333,30108
44.702,51.891,99.99%,96.599,30112
54.071,43.138,99.92%,97.289,30180
44.507,52.732,99.99%,97.245,30228
41.661,56.242,99.99%,97.917,30116
44.169,52.364,99.99%,96.544,30112
51.956,44.127,99.99%,96.089,29720
39.895,56.279,100.00%,96.178,29720
53.404,43.261,99.70%,96.956,30172
52.756,43.185,99.96%,95.979,29732
44.207,52.559,99.88%,96.881,30148
71.939,59.950,99.63%,132.379,30124
39.024,59.144,100.00%,98.170,30076
35.925,60.417,99.95%,96.386,30172
61.853,34.952,100.00%,96.808,30228
49.294,47.766,99.92%,97.140,30244
43.621,52.201,99.86%,95.953,29792
38.418,58.928,99.90%,97.440,30156
49.610,48.839,99.63%,98.810,30232
40.830,56.037,99.96%,96.906,29736
42.490,55.330,100.00%,97.822,30224
39.317,56.657,99.99%,95.980,29740
52.618,43.792,99.99%,96.415,30224
40.825,55.304,99.99%,96.135,29808
45.823,50.719,99.91%,96.626,30100
51.885,44.091,99.99%,95.982,29728
44.171,52.422,99.99%,96.605,29724
32.454,65.083,99.95%,97.586,30128
48.307,48.377,99.86%,96.817,30116
44.105,52.476,99.88%,96.697,30180
39.814,56.477,99.94%,96.346,30108
53.404,43.735,99.64%,97.489,30156
45.281,52.086,99.99%,97.374,30236
36.193,60.675,99.95%,96.919,30268
52.440,44.485,99.91%,97.016,30112
53.342,45.121,99.99%,98.469,30108
40.491,56.956,99.95%,97.498,30112
42.030,56.272,99.92%,98.381,30196
56.922,40.681,99.99%,97.609,30124
56.296,40.361,99.95%,96.701,29728
52.698,51.761,99.76%,104.710,30124
46.307,51.414,100.00%,97.724,30136
48.090,48.291,99.99%,96.386,30176
45.184,51.974,99.99%,97.165,30172
62.063,35.636,99.99%,97.706,30108
51.826,44.160,99.99%,95.991,30232
51.440,43.824,99.99%,95.269,29788
45.127,51.919,99.99%,97.051,30184
31.901,64.749,99.99%,96.657,29732
32.231,64.866,99.99%,97.104,30108
61.152,34.862,99.52%,96.481,30168
52.461,44.680,99.99%,97.147,30144
42.533,55.145,100.00%,97.680,29712
47.990,48.123,99.99%,96.118,30232
39.975,56.708,99.96%,96.721,30212
48.949,52.660,99.83%,101.787,30184
48.059,48.269,99.86%,96.459,30268
41.306,55.303,100.00%,96.613,30112
39.559,56.189,99.99%,95.754,29768
45.993,50.823,99.88%,96.934,30216
43.869,52.332,99.99%,96.207,29728
39.770,56.538,99.99%,96.315,29800
36.398,60.930,99.90%,97.425,30200
41.142,55.757,99.91%,96.986,30268
48.263,48.540,99.99%,96.811,30136
45.305,50.599,99.90%,96.003,29724
31.664,64.126,100.00%,95.795,29728
44.015,52.316,99.99%,96.338,29760
38.380,59.184,99.91%,97.648,30120
40.987,56.093,99.99%,97.086,30112
52.131,44.249,99.99%,96.387,30148
45.311,51.684,99.89%,97.102,30112
35.690,60.278,99.94%,96.024,29720
45.851,51.003,99.93%,96.922,30172
45.117,51.919,99.99%,97.041,30184
40.433,56.748,99.84%,97.338,30212
52.451,43.997,99.86%,96.587,30180
47.552,48.089,99.99%,95.648,29680
44.187,52.536,99.85%,96.864,30188
35.904,60.500,99.92%,96.484,29668
42.481,54.630,99.93%,97.180,30132
49.450,47.900,99.92%,97.423,30112
48.340,48.744,99.99%,97.097,30212
44.021,52.551,100.00%,96.576,30096
63.201,67.736,99.79%,131.217,30144
54.853,43.465,99.68%,98.630,30184
43.929,52.265,99.89%,96.296,29764
48.444,48.782,99.99%,97.232,30108
40.239,56.555,99.99%,96.801,30152
36.659,61.213,99.99%,97.877,30108
39.832,56.268,99.99%,96.106,30224
56.489,40.496,99.99%,96.991,30112
52.215,44.371,99.93%,96.652,30236
43.807,52.304,99.99%,96.117,30204
31.945,64.503,99.99%,96.454,30116
46.473,50.763,100.00%,97.241,30100
52.410,43.264,100.00%,95.678,29700
44.876,51.492,99.99%,96.374,29696
43.812,52.274,99.99%,96.092,29732
40.234,56.564,99.85%,96.942,30172
59.246,36.529,99.92%,95.853,29788
40.102,56.533,99.99%,96.641,30116
48.456,48.650,100.00%,97.111,30164
56.295,39.406,99.89%,95.811,29784
43.877,52.389,99.99%,96.272,30108
48.945,47.871,99.70%,97.112,30152
44.047,52.561,99.91%,96.696,30196
44.142,52.216,99.99%,96.363,30104
51.499,44.086,99.99%,95.592,29796
35.842,60.324,99.89%,96.271,29720
27.658,68.595,99.99%,96.265,29704
52.101,44.574,99.99%,96.680,30112
37.927,59.066,99.86%,97.128,30192
44.475,52.639,99.91%,97.202,30112
41.734,54.907,99.91%,96.728,30112
48.148,48.341,99.90%,96.584,29796
44.316,52.661,99.99%,96.984,30224
44.384,52.675,99.96%,97.095,30256
43.397,52.212,99.53%,96.064,29728
57.134,40.588,99.90%,97.823,30176
44.013,52.354,99.96%,96.404,30112
43.237,52.181,99.99%,95.425,29728
49.958,47.658,99.87%,97.744,30124
40.881,55.994,99.99%,96.882,30140
42.060,55.053,100.00%,97.117,30072
44.578,52.794,99.92%,97.454,30152
39.802,56.430,99.96%,96.273,30112
57.777,39.183,99.99%,96.966,30112
39.546,62.992,100.00%,102.539,30096
52.664,44.728,99.99%,97.399,30240
61.923,35.491,99.99%,97.421,30112
