user_time,system_time,cpu_percent,wallclock_time,max_rss
0.009,0.002,95.35%,0.012,0
0.010,0.002,95.02%,0.013,0
0.012,0.000,102.70%,0.012,0
0.013,0.000,103.09%,0.013,0
0.010,0.003,98.18%,0.013,0
0.011,0.002,102.34%,0.013,0
0.009,0.003,99.54%,0.012,0
0.009,0.003,101.89%,0.012,0
0.014,0.000,106.63%,0.013,0
0.009,0.003,105.54%,0.011,0
0.010,0.002,103.51%,0.012,0
0.010,0.002,98.34%,0.012,0
0.010,0.003,103.08%,0.013,0
0.010,0.003,104.31%,0.012,0
0.012,0.000,94.73%,0.013,0
0.010,0.002,97.74%,0.012,0
0.012,0.000,103.19%,0.012,0
0.012,0.000,102.54%,0.012,0
0.013,0.000,101.44%,0.013,0
0.012,0.000,102.21%,0.012,0
0.009,0.002,96.12%,0.011,0
0.012,0.000,103.85%,0.012,0
0.009,0.002,99.49%,0.011,0
0.010,0.003,106.52%,0.012,0
0.012,0.000,98.03%,0.012,0
0.010,0.002,96.72%,0.012,0
0.012,0.000,99.39%,0.012,0
0.012,0.000,103.52%,0.012,0
0.009,0.002,99.50%,0.011,0
0.009,0.004,109.69%,0.012,0
0.009,0.003,102.21%,0.012,0
0.010,0.002,98.94%,0.012,0
0.009,0.002,101.89%,0.011,0
0.009,0.003,102.70%,0.012,0
0.012,0.000,105.54%,0.011,0
0.014,0.000,108.31%,0.013,0
0.012,0.000,96.29%,0.012,0
0.011,0.003,103.42%,0.014,0
0.009,0.002,92.38%,0.012,0
0.009,0.002,96.91%,0.011,0
0.009,0.002,89.73%,0.012,0
0.011,0.002,104.32%,0.012,0
0.013,0.000,106.37%,0.012,0
0.012,0.000,94.60%,0.013,0
0.011,0.000,99.50%,0.011,0
0.013,0.000,101.01%,0.013,0
0.009,0.002,99.50%,0.011,0
0.009,0.003,105.71%,0.011,0
0.009,0.002,97.70%,0.011,0
0.013,0.000,100.00%,0.013,0
0.007,0.003,94.24%,0.011,0
0.010,0.003,106.37%,0.012,0
0.010,0.003,110.91%,0.012,0
0.009,0.003,100.62%,0.012,0
0.013,0.000,99.72%,0.013,0
0.012,0.000,101.89%,0.012,0
0.010,0.003,101.74%,0.013,0
0.013,0.000,105.57%,0.012,0
0.013,0.000,102.34%,0.013,0
0.011,0.000,104.76%,0.010,0
0.010,0.002,100.93%,0.012,0
0.013,0.000,102.78%,0.013,0
0.010,0.002,93.37%,0.013,0
0.011,0.002,103.84%,0.013,0
0.009,0.002,102.06%,0.011,0
0.014,0.000,103.71%,0.013,0
0.012,0.000,100.32%,0.012,0
0.011,0.000,108.19%,0.010,0
0.011,0.003,99.74%,0.014,0
0.010,0.002,104.35%,0.012,0
0.011,0.002,98.18%,0.013,0
0.009,0.003,100.78%,0.012,0
0.008,0.003,92.67%,0.012,0
0.010,0.004,113.34%,0.012,0
0.010,0.003,103.09%,0.013,0
0.009,0.002,105.52%,0.010,0
0.010,0.003,109.01%,0.012,0
0.009,0.003,107.10%,0.011,0
0.010,0.004,115.61%,0.012,0
0.009,0.001,94.57%,0.011,0
0.013,0.000,107.01%,0.012,0
0.008,0.002,98.01%,0.010,0
0.012,0.000,101.73%,0.012,0
0.009,0.003,106.05%,0.011,0
0.011,0.003,113.86%,0.012,0
0.014,0.004,106.11%,0.017,0
0.012,0.002,110.21%,0.013,0
0.013,0.000,100.57%,0.013,0
0.011,0.000,99.66%,0.011,0
0.012,0.000,94.74%,0.013,0
0.010,0.002,102.05%,0.012,0
0.011,0.002,100.00%,0.013,0
