user_time,system_time,cpu_percent,wallclock_time,max_rss
11.895,7.947,99.96%,19.850,3584
11.938,7.959,99.61%,19.974,3584
17.476,1.286,99.96%,18.769,3584
15.686,3.736,99.96%,19.429,3456
15.492,3.483,99.97%,18.981,3584
16.028,3.957,99.96%,19.992,3584
13.382,5.486,99.96%,18.876,3584
15.891,3.852,99.98%,19.747,3584
15.482,3.448,99.95%,18.939,3456
15.482,3.410,99.96%,18.899,3584
15.987,4.028,99.96%,20.023,3584
15.753,3.819,99.93%,19.586,3584
15.874,3.958,99.98%,19.836,3584
15.787,3.875,99.96%,19.670,3456
15.358,3.232,99.96%,18.597,3584
19.804,0.000,99.96%,19.812,3584
12.014,7.988,99.96%,20.009,3456
15.146,3.578,99.96%,18.731,3584
16.092,3.949,99.96%,20.049,3584
15.933,3.850,99.97%,19.790,3584
15.910,4.052,99.98%,19.966,3584
18.866,0.000,99.67%,18.929,3584
19.832,0.053,99.97%,19.891,3584
15.898,3.938,99.97%,19.842,3584
19.686,0.000,99.96%,19.693,3584
16.028,3.941,99.96%,19.976,3584
15.960,3.951,99.27%,20.057,3584
15.825,3.970,99.96%,19.803,3584
13.749,5.125,99.92%,18.888,3456
16.148,4.094,99.40%,20.364,3584
15.774,3.902,99.96%,19.683,3456
19.766,0.000,99.97%,19.771,3456
15.908,3.986,99.96%,19.902,3584
11.901,7.876,99.96%,19.785,3584
19.690,0.080,99.97%,19.775,3584
11.971,7.959,99.96%,19.938,3584
16.003,3.934,99.96%,19.945,3584
11.291,7.563,99.69%,18.913,3584
16.024,3.885,99.96%,19.917,3584
15.871,3.989,99.96%,19.868,3456
15.805,3.797,99.96%,19.610,3584
15.891,3.857,99.96%,19.756,3584
18.645,0.000,99.96%,18.653,3584
12.063,8.039,99.32%,20.240,3584
18.186,0.946,99.68%,19.193,3584
16.041,3.915,99.96%,19.965,3584
12.054,8.034,99.97%,20.094,3584
15.953,3.821,99.79%,19.816,3584
19.927,0.130,99.97%,20.062,3584
11.569,7.713,99.98%,19.286,3456
15.845,4.088,99.97%,19.940,3584
14.086,5.698,99.97%,19.791,3584
18.743,0.000,99.96%,18.750,3456
16.075,3.963,99.96%,20.046,3584
19.676,0.000,99.97%,19.683,3584
13.213,5.734,99.96%,18.955,3456
15.828,3.942,99.97%,19.776,3456
19.681,0.000,99.97%,19.686,3456
19.788,0.041,99.97%,19.835,3584
11.709,7.643,99.97%,19.357,3584
15.755,3.898,99.97%,19.659,3584
15.325,3.525,99.80%,18.889,3584
15.805,3.987,99.53%,19.885,3584
15.794,3.955,99.96%,19.756,3584
19.771,0.058,99.98%,19.833,3584
15.999,3.922,99.95%,19.930,3584
15.925,3.871,99.96%,19.804,3584
19.980,0.000,99.96%,19.989,3584
11.951,7.982,99.64%,20.005,3456
15.876,3.868,99.96%,19.751,3584
15.962,3.940,99.95%,19.911,3584
13.421,5.311,99.96%,18.740,3584
15.342,3.401,99.96%,18.750,3584
11.951,7.642,99.97%,19.598,3584
16.016,3.912,99.97%,19.935,3584
13.828,5.047,99.96%,18.883,3584
19.804,0.000,99.95%,19.814,3584
11.937,7.915,99.97%,19.858,3584
19.852,0.153,99.97%,20.012,3584
17.839,0.974,99.93%,18.826,3584
18.959,0.000,99.96%,18.966,3584
15.969,3.902,99.97%,19.878,3584
15.973,3.891,99.93%,19.879,3584
15.985,3.855,99.96%,19.847,3584
12.123,8.083,99.50%,20.307,3584
19.773,0.000,88.82%,22.263,3584
16.013,4.012,99.96%,20.032,3584
11.505,7.601,99.96%,19.113,3584
15.429,3.559,99.97%,18.994,3456
11.887,7.924,99.97%,19.818,3456
16.137,4.035,99.96%,20.180,3584
19.212,0.000,99.93%,19.226,3584
17.416,1.182,99.96%,18.606,3584
19.035,0.000,99.97%,19.041,3456
15.631,3.662,99.96%,19.301,3584
15.528,3.546,99.97%,19.080,3584
11.718,7.832,99.94%,19.562,3584
17.578,1.262,99.49%,18.937,3456
19.004,0.000,99.97%,19.009,3584
15.970,3.782,99.96%,19.760,3584
15.907,3.856,99.97%,19.770,3584
11.935,7.974,99.96%,19.916,3456
11.835,7.830,99.96%,19.673,3456
15.386,3.540,99.97%,18.932,3584
11.468,7.518,99.97%,18.992,3584
15.873,3.819,99.96%,19.700,3584
19.893,0.000,99.76%,19.942,3456
15.967,3.943,99.97%,19.916,3584
18.820,0.000,99.96%,18.827,3584
15.946,4.085,99.97%,20.037,3456
15.886,3.814,99.50%,19.799,3584
19.791,0.000,99.96%,19.799,3584
15.735,3.899,99.97%,19.640,3584
15.951,3.883,99.97%,19.840,3584
15.927,3.829,99.91%,19.773,3584
19.998,0.000,99.96%,20.006,3456
17.438,1.471,99.93%,18.923,3584
19.695,0.103,99.96%,19.805,3584
15.271,3.572,99.96%,18.850,3584
11.905,7.902,99.95%,19.816,3584
19.596,0.000,99.97%,19.602,3584
16.071,3.982,99.96%,20.061,3584
17.707,1.138,99.92%,18.860,3456
15.364,3.506,99.96%,18.877,3584
15.872,3.918,99.96%,19.798,3584
19.815,0.068,99.97%,19.889,3584
15.924,4.028,99.97%,19.959,3584
15.832,3.847,99.97%,19.685,3584
15.915,4.091,99.97%,20.012,3584
19.991,0.071,99.97%,20.068,3584
16.035,3.914,99.96%,19.957,3584
15.822,3.961,99.77%,19.828,3584
16.007,4.068,99.84%,20.108,3456
19.926,0.126,99.97%,20.058,3584
11.996,7.990,99.96%,19.994,3456
8.081,11.973,99.96%,20.062,3584
19.985,0.050,99.97%,20.041,3584
13.549,5.268,99.96%,18.825,3584
17.989,2.132,99.53%,20.215,3584
18.915,0.000,99.97%,18.921,3584
18.002,1.698,99.96%,19.708,3584
19.726,0.000,99.96%,19.733,3456
19.765,0.169,99.97%,19.939,3584
15.892,3.877,99.97%,19.776,3584
19.884,0.000,99.97%,19.890,3584
16.005,3.880,99.97%,19.892,3584
19.793,0.031,99.98%,19.828,3584
19.297,0.000,99.71%,19.353,3584
15.929,3.853,99.97%,19.788,3584
12.011,7.978,99.96%,19.997,3584
15.836,3.774,99.97%,19.616,3584
13.580,5.032,99.96%,18.619,3584
28.991,4.512,99.97%,33.512,3584
13.609,5.071,99.95%,18.689,3584
11.918,7.952,99.97%,19.877,3456
15.403,3.415,99.97%,18.823,3584
16.093,3.983,99.97%,20.082,3456
19.055,0.000,99.97%,19.061,3584
11.816,7.893,99.96%,19.717,3584
15.863,3.878,99.93%,19.754,3584
15.938,4.005,99.97%,19.950,3456
14.216,5.625,99.94%,19.853,3456
11.881,7.985,99.97%,19.872,3584
15.807,3.749,99.96%,19.564,3456
15.998,4.159,99.97%,20.163,3584
19.784,0.000,99.96%,19.791,3456
7.873,12.018,99.96%,19.899,3584
17.783,0.854,99.96%,18.645,3584
18.929,0.000,99.96%,18.937,3584
15.961,3.823,99.97%,19.790,3584
19.842,0.134,99.98%,19.981,3584
17.706,1.297,99.96%,19.010,3456
15.948,4.023,99.96%,19.978,3584
15.947,3.933,99.93%,19.895,3584
16.029,4.115,99.96%,20.152,3584
19.757,0.030,99.97%,19.793,3584
19.736,0.092,99.97%,19.834,3584
15.843,3.790,99.96%,19.640,3456
19.789,0.000,99.94%,19.801,3584
11.836,7.906,99.50%,19.842,3584
15.607,3.413,99.97%,19.026,3584
19.910,4.028,99.06%,24.165,3584
18.272,1.346,99.73%,19.672,3584
19.622,0.049,99.97%,19.677,3584
17.671,2.500,99.97%,20.177,3584
19.146,0.000,99.97%,19.152,3456
15.272,3.461,99.98%,18.737,3584
17.793,1.838,99.96%,19.639,3584
15.885,3.817,99.92%,19.717,3456
15.314,3.571,99.29%,19.019,3584
15.161,3.632,99.92%,18.809,3584
15.804,3.837,99.58%,19.723,3584
19.904,0.085,99.97%,19.994,3584
17.633,1.404,99.96%,19.045,3584
15.728,3.778,99.97%,19.512,3584
16.189,4.063,99.50%,20.354,3584
17.516,1.340,99.96%,18.864,3584
19.814,0.104,99.60%,19.998,3584
15.945,3.936,99.96%,19.889,3584
19.742,0.000,99.93%,19.756,3584
19.976,0.096,99.98%,20.076,3456
11.912,7.926,99.97%,19.843,3584
18.881,0.000,99.30%,19.013,3456
16.051,4.010,99.96%,20.068,3584
15.972,3.922,99.92%,19.909,3584
15.914,3.903,99.96%,19.826,3584
11.917,7.888,99.96%,19.812,3456
19.810,0.079,99.97%,19.894,3584
15.944,3.872,99.96%,19.824,3584
18.939,0.000,99.97%,18.944,3584
15.473,3.608,99.97%,19.088,3584
15.305,3.555,99.98%,18.864,3456
16.007,3.932,99.94%,19.951,3584
15.950,3.929,99.97%,19.886,3584
11.752,7.849,99.96%,19.609,3456
18.778,0.000,99.96%,18.785,3456
11.308,7.628,99.97%,18.942,3584
15.367,3.478,99.97%,18.851,3456
19.847,0.031,99.25%,20.028,3584
11.976,7.958,99.95%,19.944,3584
18.157,0.706,99.63%,18.933,3456
15.579,3.679,99.97%,19.264,3584
19.679,0.000,99.98%,19.684,3584
11.745,7.844,99.55%,19.678,3584
17.529,1.341,99.96%,18.878,3584
16.059,4.087,99.57%,20.232,3584
19.119,0.000,99.97%,19.124,3584
19.762,0.011,99.97%,19.778,3584
15.904,4.025,99.97%,19.935,3584
16.101,4.185,99.95%,20.296,3584
15.469,3.631,99.93%,19.114,3584
18.473,1.344,99.70%,19.876,3584
11.407,7.657,99.97%,19.069,3584
16.060,3.837,99.93%,19.911,3584
15.855,3.989,99.97%,19.849,3456
11.821,7.871,99.97%,19.697,3456
16.045,3.899,99.38%,20.069,3584
19.787,0.012,99.97%,19.805,3584
13.311,5.526,99.92%,18.851,3584
19.811,0.052,99.97%,19.868,3456
16.118,4.052,99.92%,20.185,3584
15.888,3.923,99.97%,19.817,3584
11.363,7.554,99.96%,18.925,3584
15.856,3.970,99.97%,19.832,3584
19.825,0.060,99.97%,19.892,3584
11.974,7.984,99.97%,19.965,3584
15.943,4.013,99.97%,19.961,3584
11.962,7.980,99.97%,19.949,3584
13.586,5.163,99.96%,18.757,3584
19.767,0.012,99.97%,19.784,3584
19.876,0.130,99.97%,20.013,3584
15.897,3.991,99.97%,19.893,3584
15.969,3.914,99.96%,19.890,3584
13.684,5.086,99.97%,18.776,3584
23.557,7.821,99.69%,31.475,3584
17.589,0.935,99.92%,18.539,3584
11.791,7.849,99.96%,19.648,3456
15.291,3.605,99.96%,18.903,3584
8.069,12.104,99.54%,20.265,3584
16.025,4.168,99.97%,20.200,3584
15.767,3.705,99.96%,19.480,3584
18.070,0.706,99.97%,18.782,3584
15.798,3.973,99.96%,19.779,3584
19.851,0.000,99.96%,19.859,3584
13.416,5.435,99.96%,18.859,3584
19.807,0.000,99.96%,19.815,3584
12.063,8.019,99.97%,20.088,3584
17.733,1.260,99.96%,19.001,3584
11.381,7.626,99.97%,19.014,3584
15.897,3.994,99.96%,19.899,3456
15.746,3.945,99.97%,19.698,3584
15.978,3.925,99.96%,19.912,3584
12.134,8.065,99.96%,20.206,3584
11.622,7.735,99.96%,19.365,3584
19.899,0.000,99.93%,19.913,3584
11.848,7.823,99.96%,19.679,3584
13.738,5.143,99.93%,18.894,3584
15.397,3.418,99.63%,18.885,3584
15.944,3.881,99.97%,19.831,3456
19.973,0.000,99.96%,19.981,3584
19.939,0.084,99.96%,20.030,3584
11.785,7.736,99.97%,19.527,3456
19.837,0.101,99.97%,19.944,3584
15.788,3.798,99.95%,19.595,3584
7.287,11.468,99.96%,18.763,3584
18.246,1.570,99.97%,19.823,3584
12.007,7.975,99.96%,19.989,3584
19.911,0.089,99.98%,20.004,3584
15.751,3.968,99.97%,19.726,3584
19.858,0.053,99.98%,19.915,3584
16.110,3.954,99.92%,20.080,3456
18.656,0.000,99.97%,18.662,3584
16.018,3.906,99.96%,19.932,3584
11.272,7.491,99.96%,18.770,3584
19.776,0.000,99.97%,19.781,3584
17.756,0.795,99.93%,18.564,3584
15.932,4.053,99.97%,19.990,3584
15.882,3.829,99.96%,19.719,3584
19.841,0.117,99.97%,19.963,3584
19.927,0.044,99.45%,20.081,3584
15.431,3.428,99.73%,18.910,3584
18.082,1.032,99.96%,19.122,3584
19.795,0.039,99.98%,19.839,3584
19.685,0.000,99.92%,19.700,3584
19.872,0.105,99.97%,19.982,3584
16.071,4.083,99.96%,20.162,3456
11.893,7.945,99.97%,19.844,3584
18.201,1.473,99.96%,19.683,3456
11.615,7.683,99.96%,19.306,3584
15.836,4.002,99.97%,19.844,3456
17.576,1.303,99.97%,18.885,3584
15.937,4.080,99.75%,20.067,3584
15.996,3.958,99.96%,19.963,3584
15.845,3.841,99.96%,19.693,3584
16.019,3.792,99.93%,19.825,3584
16.057,3.953,99.50%,20.111,3584
11.890,7.920,99.96%,19.819,3584
15.897,3.884,99.97%,19.787,3584
15.288,3.695,99.96%,18.991,3584
19.914,0.090,99.97%,20.011,3584
15.922,3.776,99.97%,19.704,3456
16.027,3.935,99.57%,20.047,3584
15.997,3.872,99.76%,19.917,3584
11.414,7.456,99.95%,18.879,3584
16.008,4.035,99.96%,20.051,3584
15.316,3.527,99.96%,18.851,3584
15.341,3.671,99.96%,19.019,3584
21.701,5.252,99.95%,26.967,3584
18.423,1.432,99.95%,19.864,3584
11.863,7.918,99.97%,19.788,3584
16.034,4.067,99.96%,20.110,3584
15.885,3.975,99.97%,19.867,3584
19.885,0.000,99.96%,19.893,3584
19.768,0.000,99.97%,19.774,3584
17.557,1.240,99.96%,18.805,3584
15.934,3.850,99.96%,19.793,3584
16.042,3.877,99.97%,19.925,3584
18.500,1.115,99.77%,19.660,3584
15.385,3.565,99.97%,18.956,3584
18.228,1.670,99.96%,19.905,3584
19.642,0.000,99.70%,19.701,3584
11.295,7.505,99.96%,18.807,3456
12.072,8.050,99.96%,20.130,3584
15.977,3.920,99.97%,19.903,3456
19.751,0.040,99.97%,19.798,3584
20.149,0.035,99.97%,20.190,3584
18.030,1.437,99.96%,19.475,3456
15.871,3.862,99.96%,19.740,3584
15.885,3.842,99.96%,19.734,3584
15.907,3.761,99.72%,19.723,3584
15.959,4.114,99.97%,20.080,3456
15.936,3.923,99.34%,19.992,3584
19.700,0.071,99.66%,19.838,3584
19.597,0.000,99.97%,19.603,3584
15.982,3.907,99.97%,19.895,3584
20.319,0.365,99.97%,20.689,3584
15.977,4.127,99.97%,20.110,3584
18.737,0.000,99.96%,18.745,3584
15.701,3.897,99.97%,19.604,3584
15.981,3.915,99.81%,19.935,3584
19.836,0.069,99.81%,19.942,3584
19.822,0.068,99.73%,19.944,3584
12.006,7.985,99.97%,19.998,3584
17.553,1.152,99.96%,18.713,3584
15.795,3.869,99.97%,19.670,3584
19.799,0.000,99.96%,19.807,3584
15.970,3.899,99.96%,19.877,3584
11.936,7.989,99.97%,19.931,3584
15.811,3.949,99.96%,19.768,3584
11.867,7.926,99.98%,19.798,3456
11.411,7.528,99.97%,18.945,3584
18.178,1.490,99.96%,19.675,3584
20.007,0.026,99.98%,20.036,3584
15.926,3.899,99.93%,19.840,3584
19.895,0.000,99.96%,19.903,3584
15.919,3.850,99.96%,19.776,3584
11.968,7.870,99.95%,19.847,3584
11.845,7.851,99.74%,19.748,3584
15.419,3.699,99.97%,19.123,3584
19.692,0.000,99.96%,19.699,3584
11.761,7.831,99.95%,19.601,3584
15.554,3.395,99.97%,18.954,3584
19.950,0.124,99.97%,20.080,3584
17.668,1.037,99.60%,18.780,3584
15.211,3.585,99.97%,18.802,3584
15.917,3.886,99.92%,19.818,3584
11.941,7.873,99.96%,19.822,3584
16.025,3.994,99.96%,20.026,3584
16.039,3.938,99.82%,20.013,3584
11.952,7.962,99.96%,19.921,3584
17.890,1.009,99.97%,18.905,3584
15.849,3.878,99.96%,19.736,3584
15.185,3.561,99.96%,18.753,3584
11.937,7.952,99.73%,19.942,3584
16.012,3.905,99.93%,19.930,3584
15.869,3.920,99.96%,19.797,3584
15.934,3.838,99.74%,19.823,3584
19.747,0.000,99.97%,19.753,3584
15.936,3.931,99.96%,19.875,3584
11.879,7.924,99.98%,19.806,3584
28.920,4.446,99.72%,33.461,3584
18.109,1.482,99.96%,19.598,3584
11.869,7.906,99.96%,19.783,3584
16.003,3.921,99.48%,20.029,3456
15.980,3.855,99.96%,19.842,3584
15.975,3.965,99.96%,19.949,3584
11.350,7.566,99.96%,18.923,3584
15.983,3.926,99.97%,19.915,3584
15.821,3.882,99.73%,19.757,3584
13.863,4.946,99.96%,18.817,3584
11.916,7.977,99.97%,19.898,3584
19.845,0.078,99.97%,19.929,3584
15.900,3.784,99.96%,19.691,3584
15.902,3.868,99.96%,19.778,3584
15.765,3.943,99.96%,19.715,3584
13.267,5.418,99.38%,18.802,3584
12.044,8.037,99.95%,20.090,3584
19.808,0.026,99.97%,19.841,3584
15.885,3.826,99.96%,19.719,3584
15.809,3.810,99.75%,19.668,3584
15.852,4.030,99.97%,19.888,3584
11.527,7.708,99.96%,19.243,3584
19.878,0.000,99.96%,19.885,3456
19.772,0.131,99.97%,19.910,3584
16.053,4.145,99.97%,20.205,3456
15.984,3.903,99.96%,19.895,3584
11.864,7.820,99.96%,19.692,3584
15.455,3.648,99.97%,19.109,3584
15.960,3.895,99.96%,19.863,3584
16.160,4.054,99.97%,20.219,3584
13.412,5.572,99.96%,18.992,3584
15.972,4.129,99.57%,20.188,3584
15.326,3.564,99.96%,18.898,3584
19.850,0.000,99.96%,19.858,3456
15.633,3.597,99.46%,19.335,3584
19.740,0.009,99.97%,19.755,3584
11.958,7.994,99.97%,19.958,3584
14.139,5.520,99.96%,19.668,3584
19.863,0.000,99.95%,19.872,3584
16.105,3.933,99.97%,20.044,3584
7.856,11.948,99.96%,19.812,3584
16.026,3.939,99.97%,19.972,3584
19.954,0.123,99.97%,20.083,3584
15.943,3.810,99.63%,19.826,3584
15.247,3.497,99.96%,18.751,3584
18.283,0.694,99.95%,18.986,3584
15.433,3.485,99.76%,18.963,3584
16.046,4.132,99.96%,20.186,3456
11.947,7.949,99.93%,19.910,3580
15.896,3.980,99.98%,19.880,3584
15.943,3.855,99.57%,19.883,3584
19.917,0.063,99.97%,19.985,3584
15.892,4.057,99.98%,19.954,3456
19.696,0.011,99.97%,19.714,3584
16.049,3.924,99.92%,19.988,3584
13.523,5.202,99.96%,18.733,3584
12.019,8.044,99.96%,20.071,3584
11.887,7.919,99.96%,19.814,3584
11.849,7.830,99.97%,19.685,3584
19.879,0.041,99.98%,19.924,3584
19.910,0.000,99.97%,19.916,3584
15.960,4.137,99.96%,20.105,3584
19.802,0.000,99.96%,19.810,3584
17.702,1.098,99.93%,18.813,3584
19.910,0.122,99.97%,20.039,3456
15.738,3.933,99.96%,19.679,3584
15.907,3.901,99.97%,19.814,3584
