user_time,system_time,cpu_percent,wallclock_time,max_rss
35.017,3.234,99.25%,38.539,2304
37.305,0.716,99.90%,38.059,2304
38.726,0.000,99.99%,38.732,2176
33.091,4.470,99.99%,37.566,2304
34.692,3.130,99.99%,37.827,2176
37.011,0.209,99.99%,37.224,2176
34.941,3.322,99.98%,38.269,2176
35.099,3.367,99.99%,38.469,2304
38.075,0.000,99.90%,38.115,2304
35.100,3.314,99.80%,38.489,2304
37.240,0.677,99.90%,37.954,2176
34.513,3.302,99.89%,37.857,2176
29.227,8.628,99.99%,37.860,2176
35.192,3.636,99.72%,38.936,2304
39.047,0.000,99.99%,39.052,2176
40.060,0.000,99.88%,40.110,2304
38.445,0.000,99.99%,38.450,2304
37.906,0.000,99.91%,37.939,2176
38.348,0.000,99.83%,38.411,2176
38.149,0.000,99.99%,38.154,2304
33.535,5.086,99.88%,38.666,2176
38.284,0.000,99.99%,38.288,2176
37.069,0.780,99.99%,37.853,2304
36.844,0.458,99.98%,37.309,2176
34.740,3.104,99.81%,37.916,2304
37.576,0.000,99.99%,37.582,2176
38.374,0.000,99.99%,38.380,2304
29.321,8.790,99.86%,38.164,2176
34.851,3.305,99.99%,38.161,2304
34.817,3.020,99.99%,37.841,2176
38.042,0.000,99.99%,38.047,2304
37.219,0.672,99.98%,37.897,2304
34.414,3.459,99.65%,38.004,2304
34.643,2.931,99.99%,37.578,2176
29.533,9.161,99.98%,38.700,2176
37.045,0.507,99.99%,37.557,2048
37.602,0.000,99.99%,37.606,2176
33.018,4.729,99.81%,37.818,2304
34.940,3.200,99.90%,38.178,2304
34.787,3.571,99.99%,38.363,2304
35.431,3.598,99.84%,39.093,2304
34.450,3.163,98.77%,38.082,2304
37.810,0.000,99.99%,37.816,2304
38.669,0.000,99.83%,38.733,2176
37.917,0.000,99.99%,37.921,2304
38.095,0.000,99.99%,38.100,2304
34.691,3.170,99.94%,37.882,2304
34.985,3.148,99.75%,38.229,2304
25.287,12.619,99.99%,37.910,2304
33.470,4.852,99.91%,38.358,2304
33.049,5.227,99.98%,38.282,2304
34.967,3.236,99.99%,38.208,2176
38.174,0.128,99.98%,38.309,2304
38.134,0.000,99.63%,38.277,2176
37.357,0.629,99.91%,38.020,2176
37.994,0.000,99.89%,38.034,2304
35.061,3.594,99.78%,38.739,2304
33.303,4.537,99.99%,37.845,2304
37.329,0.600,99.99%,37.934,2176
38.910,0.000,99.80%,38.988,2176
38.644,0.000,99.99%,38.647,2304
37.532,0.000,99.99%,37.536,2176
37.143,0.727,99.98%,37.876,2304
37.681,0.719,99.98%,38.407,2304
38.132,1.079,99.99%,39.215,2176
35.924,3.821,99.89%,39.790,2304
38.735,0.000,99.82%,38.804,2304
39.220,0.000,99.99%,39.225,2304
36.447,0.547,99.91%,37.029,2304
38.596,0.000,99.70%,38.711,2304
37.691,0.000,99.99%,37.695,2304
34.735,3.119,99.99%,37.858,2176
38.678,0.000,99.99%,38.681,2304
33.326,4.312,99.99%,37.643,2176
38.027,0.000,99.89%,38.070,2176
34.445,3.186,99.83%,37.695,2176
37.833,0.000,99.99%,37.837,2176
37.024,0.376,99.99%,37.405,2176
33.400,5.122,99.82%,38.592,2304
34.829,3.406,99.87%,38.283,2304
37.887,0.000,99.99%,37.892,2176
34.960,3.235,99.80%,38.271,2176
37.701,0.000,99.89%,37.743,2304
34.923,3.155,99.17%,38.398,2304
38.411,0.000,99.98%,38.417,2176
35.960,2.224,98.06%,38.940,2176
38.378,0.000,99.99%,38.383,2176
33.290,4.688,99.98%,37.984,2304
38.505,0.000,99.75%,38.602,2304
37.159,0.756,99.98%,37.921,2304
34.769,3.535,99.98%,38.310,2304
39.227,0.000,99.98%,39.233,2176
35.237,3.582,99.99%,38.824,2176
29.445,8.619,99.98%,38.070,2304
38.876,0.000,99.64%,39.016,2304
39.843,0.000,99.99%,39.849,2176
34.627,3.180,99.99%,37.810,2304
37.462,0.000,99.87%,37.511,2304
37.130,0.436,99.99%,37.571,2304
35.354,3.293,99.99%,38.653,2304
38.170,0.000,99.88%,38.215,2176
36.209,4.018,99.99%,40.232,2304
40.011,0.000,99.99%,40.015,2304
32.948,4.557,99.87%,37.554,2304
36.963,0.512,99.81%,37.545,2176
38.171,0.000,99.99%,38.174,2176
36.310,3.824,99.99%,40.138,2304
33.534,4.708,99.86%,38.294,2304
41.388,0.000,99.60%,41.553,2304
35.669,4.055,99.99%,39.729,2304
37.880,0.000,99.99%,37.885,2304
34.517,3.148,99.99%,37.670,2304
36.810,0.675,99.98%,37.491,2304
34.764,3.206,99.99%,37.973,2176
38.203,0.000,99.99%,38.208,2304
34.605,3.278,99.90%,37.919,2304
37.803,0.000,99.99%,37.806,2304
29.257,8.996,99.87%,38.303,2304
29.570,9.034,99.99%,38.609,2304
37.667,0.000,99.99%,37.671,2304
38.845,0.000,99.87%,38.896,2304
