user_time,system_time,cpu_percent,wallclock_time,max_rss
93.845,61.274,99.90%,155.280,30144
91.371,63.685,99.94%,155.145,30108
84.466,68.478,99.93%,153.044,30180
92.425,60.363,99.92%,152.907,30268
88.548,64.241,99.94%,152.875,30112
101.088,52.635,99.94%,153.820,30184
79.772,71.554,99.96%,151.385,29792
80.089,72.221,99.89%,152.479,29724
88.764,64.436,99.94%,153.299,30268
80.161,72.423,99.81%,152.871,30232
111.202,71.608,99.81%,183.164,30116
100.803,52.503,99.91%,153.448,30112
103.364,51.445,99.79%,155.133,30176
87.216,67.605,99.99%,154.840,30208
71.625,79.766,99.87%,151.591,29728
99.637,55.607,99.45%,156.101,30116
84.750,68.540,99.93%,153.394,30228
108.382,43.973,99.84%,152.595,30196
80.860,72.579,99.88%,153.618,30112
88.770,64.378,99.99%,153.166,29772
86.543,67.076,99.97%,153.672,30176
91.683,60.450,99.84%,152.381,29796
90.954,63.081,99.99%,154.049,30144
87.643,63.859,99.99%,151.516,29720
96.297,56.561,99.90%,153.018,29740
88.716,64.587,99.99%,153.321,30260
96.113,56.223,99.87%,152.530,29768
94.535,59.220,99.92%,153.882,30240
92.761,60.601,99.98%,153.388,30208
76.266,80.424,99.76%,157.070,30120
91.086,63.216,99.92%,154.433,30220
99.008,55.293,99.95%,154.385,30216
107.153,47.433,99.77%,154.936,30116
80.487,72.296,99.96%,152.842,29728
90.175,62.511,99.90%,152.843,29728
80.232,72.380,99.94%,152.709,29720
101.287,52.734,99.99%,154.039,30236
97.927,54.609,99.90%,152.682,30224
93.409,60.825,99.93%,154.337,30120
98.870,55.171,99.94%,154.141,30220
92.671,60.549,99.84%,153.458,30144
101.257,52.481,99.99%,153.757,30108
99.840,52.619,99.95%,152.528,30120
84.509,68.501,99.87%,153.205,30120
108.717,44.328,99.89%,153.209,30168
93.333,60.935,99.93%,154.371,30120
92.795,60.373,99.89%,153.334,29728
84.908,68.608,99.94%,153.609,30168
106.402,47.110,99.94%,153.599,30156
95.447,59.482,99.95%,155.013,30268
74.697,78.399,99.77%,153.450,29784
84.721,68.644,99.97%,153.417,29728
87.577,64.656,99.90%,152.393,30220
84.767,68.679,99.96%,153.510,30116
102.357,51.354,99.96%,153.767,30108
71.791,83.525,99.87%,155.515,30216
87.156,67.170,99.96%,154.395,30296
106.373,47.427,99.94%,153.898,30204
110.351,43.139,99.94%,153.589,30108
76.401,76.255,99.92%,152.782,29728
