user_time,system_time,cpu_percent,wallclock_time,max_rss
258.479,68.688,99.84%,327.695,45504
258.277,67.585,99.97%,325.953,45212
255.430,68.495,99.91%,324.214,45284
257.692,64.850,99.93%,322.778,45244
254.693,67.482,99.97%,322.263,45216
265.380,60.341,99.91%,326.015,45288
246.983,75.483,99.95%,322.612,45024
244.506,80.204,99.95%,324.885,44956
260.021,64.490,99.94%,324.693,45244
244.777,80.345,99.88%,325.527,45336
273.002,80.313,99.90%,353.668,45220
259.615,63.945,99.95%,323.735,45216
261.768,64.283,99.87%,326.487,45280
253.647,71.405,99.93%,325.289,45184
242.456,79.789,99.93%,322.465,44832
267.072,59.569,99.70%,327.629,45220
254.012,68.592,99.97%,322.709,45204
279.582,44.018,99.92%,323.873,45172
251.646,72.641,99.91%,324.586,45216
259.822,64.430,99.99%,324.272,45004
251.519,75.906,99.97%,327.519,45280
264.298,60.503,99.93%,325.033,45028
258.702,67.526,99.98%,326.304,45504
253.374,68.395,99.93%,321.989,45336
293.501,59.676,99.82%,353.802,44972
254.638,67.666,99.98%,322.356,45236
270.648,56.236,99.92%,327.131,45000
256.695,68.027,99.94%,324.901,45344
258.063,67.541,99.97%,325.717,45184
238.508,87.506,99.87%,326.439,45224
261.605,63.309,99.96%,325.047,45196
269.640,56.258,99.94%,326.081,45192
273.045,51.276,99.84%,324.837,45220
247.901,75.831,99.99%,323.759,44832
251.320,71.732,99.93%,323.293,44832
249.454,72.911,99.95%,322.538,44824
270.984,52.745,99.99%,323.750,45340
263.073,59.657,99.93%,322.947,45328
256.938,68.144,99.94%,325.286,45224
268.102,59.906,99.97%,328.112,45324
256.864,68.268,99.89%,325.489,45248
268.228,55.862,99.81%,324.703,45212
271.564,52.660,99.99%,324.264,45224
257.103,68.519,99.93%,325.845,45224
280.061,44.340,99.88%,324.778,45400
264.542,60.949,99.97%,325.596,45224
256.870,68.094,99.96%,325.106,44960
253.974,72.457,99.89%,326.776,45272
260.335,64.004,99.97%,324.423,45900
262.373,64.384,99.94%,326.939,45244
237.238,86.813,99.87%,324.484,45016
247.574,75.894,99.99%,323.514,44832
253.804,68.366,99.95%,322.328,45324
253.591,72.467,99.91%,326.338,45220
273.547,51.991,99.96%,325.662,45084
242.520,83.578,99.94%,326.306,45192
254.520,71.456,99.94%,326.181,45272
271.020,51.972,99.95%,323.138,45308
279.129,43.790,99.97%,323.023,45212
247.154,76.312,99.91%,323.756,44832
263.165,63.634,99.98%,326.874,45280
263.061,60.025,99.84%,323.617,44956
270.901,51.712,99.94%,322.805,45336
273.454,51.553,99.66%,326.109,45336
265.489,59.527,99.99%,325.061,45176
261.013,64.290,99.79%,325.981,45248
272.800,52.719,99.42%,327.415,45484
269.344,52.360,99.93%,321.936,45276
270.728,91.600,99.87%,362.791,45120
272.143,55.894,99.92%,328.316,45276
262.350,63.630,99.64%,327.150,45340
248.126,76.078,99.91%,324.497,45232
242.978,83.477,99.80%,327.110,45228
231.619,93.415,99.93%,325.254,44912
249.404,76.302,99.79%,326.387,45028
260.675,64.207,99.93%,325.114,45220
257.141,68.330,99.93%,325.708,45280
252.645,72.042,99.79%,325.358,45284
245.237,78.904,99.93%,324.370,45272
264.902,60.233,99.96%,325.261,45480
274.555,48.860,99.82%,324.006,45224
250.669,75.341,99.98%,326.068,45028
260.850,64.433,99.89%,325.635,45224
252.514,72.172,99.84%,325.196,45264
259.553,63.760,99.94%,323.504,45220
265.161,59.394,98.60%,329.167,44964
271.386,55.955,99.76%,328.128,45288
254.377,68.681,99.98%,323.133,45212
262.401,60.346,99.89%,323.098,45312
