user_time,system_time,cpu_percent,wallclock_time,max_rss
212.273,17.442,173.66%,132.276,2304
197.128,24.057,162.54%,136.078,2176
221.784,7.329,172.42%,132.880,2560
210.350,14.156,169.57%,132.400,2304
227.903,0.000,171.58%,132.829,2304
212.246,8.278,167.53%,131.633,2304
223.741,3.876,168.69%,134.934,2304
208.353,11.345,157.39%,139.590,2560
217.530,10.444,172.70%,132.007,2176
216.354,0.000,161.12%,134.284,2304
220.871,9.079,167.08%,137.625,2304
217.942,11.000,174.08%,131.514,2176
214.487,10.247,169.20%,132.818,2176
204.011,18.349,164.75%,134.967,2304
218.605,0.000,163.06%,134.068,2176
208.923,12.486,167.43%,132.240,2304
218.851,11.053,170.96%,134.481,2176
217.108,8.533,169.62%,133.029,2304
211.330,14.140,168.51%,133.801,2304
201.804,9.460,150.11%,140.739,2304
227.266,0.000,170.70%,133.141,2304
223.007,3.564,172.37%,131.444,2176
213.072,2.565,156.82%,137.504,2432
228.013,3.271,173.49%,133.315,2176
219.365,13.603,164.08%,141.985,2176
203.678,11.065,154.76%,138.754,2176
225.483,1.074,171.59%,132.036,2304
215.497,4.973,165.85%,132.934,2176
196.058,15.583,152.87%,138.447,2304
231.799,0.742,171.67%,135.461,2304
227.515,0.766,174.52%,130.806,2176
201.283,14.049,159.12%,135.326,2304
226.505,4.746,174.57%,132.467,2304
223.603,8.291,175.58%,132.075,2176
230.558,0.000,175.64%,131.264,2304
226.498,8.233,176.57%,132.941,2304
215.616,16.675,175.83%,132.108,2176
214.874,15.519,174.95%,131.689,2304
215.510,12.244,172.95%,131.685,2176
208.531,3.506,150.37%,141.009,2560
216.947,16.006,175.76%,132.539,2176
209.115,13.589,167.33%,133.092,2304
208.940,21.131,175.58%,131.035,2304
213.636,5.104,162.77%,134.385,2304
213.701,13.402,172.11%,131.953,2304
233.163,0.000,174.02%,133.983,2176
222.604,9.392,175.88%,131.908,2304
200.451,18.532,162.61%,134.664,2304
212.972,15.149,173.04%,131.828,2176
204.977,20.952,170.52%,132.492,2560
226.462,0.527,172.61%,131.505,2304
218.266,10.141,172.02%,132.780,2304
207.828,15.131,167.09%,133.434,2176
232.253,1.039,175.47%,132.949,2176
216.178,8.089,169.60%,132.233,2176
213.634,2.927,159.03%,136.175,2176
257.581,10.075,170.86%,156.651,2304
212.410,3.098,151.78%,141.990,2304
219.295,6.648,171.56%,131.702,2176
201.443,15.582,161.61%,134.289,2304
193.065,26.650,166.24%,132.164,2176
234.978,0.000,175.28%,134.057,2176
210.732,5.827,149.87%,144.496,2304
222.367,4.216,172.81%,131.115,2176
214.549,2.947,162.48%,133.862,2304
223.919,8.984,176.61%,131.872,2304
194.191,14.901,150.14%,139.266,2304
221.597,7.334,171.91%,133.165,2304
208.706,14.371,167.45%,133.222,2176
212.266,0.000,154.08%,137.765,2176
228.548,1.539,174.89%,131.558,2304
213.735,5.575,166.03%,132.091,2304
268.804,5.335,165.21%,165.930,2304
221.754,9.217,174.26%,132.544,2176
224.329,4.696,173.48%,132.016,2304
221.099,8.063,172.14%,133.128,2492
207.528,18.876,169.80%,133.332,2304
204.677,9.916,156.58%,137.051,2432
221.106,2.231,167.94%,132.986,2304
222.528,5.847,173.53%,131.604,2304
210.163,20.170,174.60%,131.922,2304
223.471,6.803,175.46%,131.243,2304
218.592,13.107,175.58%,131.964,2304
224.162,0.656,167.66%,134.089,2176
216.807,10.786,173.72%,131.013,2176
227.041,3.548,176.42%,130.701,2304
219.263,12.479,175.32%,132.181,2304
229.992,1.012,175.05%,131.965,2304
224.903,5.356,173.95%,132.369,2304
219.712,3.692,168.20%,132.819,2304
223.812,4.184,171.82%,132.696,2304
217.781,12.299,175.22%,131.313,2304
216.790,12.561,175.90%,130.388,2176
215.184,9.169,166.78%,134.517,2304
209.354,11.678,165.80%,133.314,2304
222.040,6.775,174.14%,131.395,2304
226.741,4.620,175.07%,132.152,2176
226.982,0.000,171.61%,132.264,2304
230.069,0.437,175.48%,131.358,2304
229.051,1.462,174.59%,132.033,2304
220.440,0.141,165.43%,133.341,2304
222.337,9.310,175.73%,131.822,2304
206.911,13.428,163.13%,135.069,2304
229.586,0.645,174.33%,132.068,2176
215.727,10.484,169.88%,133.157,2304
214.985,16.779,174.88%,132.525,2304
204.137,15.234,161.03%,136.234,2304
212.588,19.381,175.70%,132.025,2176
226.136,4.269,175.81%,131.055,2176
215.302,0.000,157.77%,136.470,2176
215.492,4.596,159.08%,138.352,2176
210.548,11.770,167.56%,132.682,2304
226.134,4.865,174.56%,132.331,2304
221.987,9.172,176.16%,131.223,2304
229.901,1.290,174.67%,132.360,2432
222.267,0.000,168.38%,132.007,2304
205.774,16.299,164.55%,134.955,2176
223.401,6.326,175.72%,130.734,2304
212.471,17.123,175.60%,130.746,2304
229.361,0.000,174.84%,131.182,2304
231.176,0.363,174.80%,132.459,2304
228.898,0.503,175.31%,130.851,2304
214.661,13.738,173.40%,131.715,2304
232.006,0.699,174.42%,133.415,2560
213.655,4.258,159.29%,136.800,2304
223.023,5.042,172.97%,131.852,2304
228.799,0.545,174.90%,131.129,2304
225.458,5.561,174.66%,132.266,2304
221.399,8.541,174.89%,131.478,2176
223.698,4.717,173.68%,131.515,2304
231.311,0.579,175.66%,132.012,2304
223.197,1.637,170.96%,131.515,2176
225.990,5.749,176.15%,131.559,2304
234.240,0.835,176.45%,133.228,2176
212.182,13.336,170.37%,132.367,2304
223.000,2.769,171.65%,131.530,2304
218.669,11.984,175.48%,131.438,2304
217.993,6.394,170.35%,131.721,2304
230.909,0.000,175.27%,131.747,2304
211.643,4.283,159.07%,135.742,2304
212.720,17.963,175.37%,131.542,2304
230.539,0.000,175.07%,131.682,2304
221.887,11.664,175.36%,133.186,2304
213.640,11.964,170.68%,132.181,2304
224.744,2.169,167.46%,135.504,2304
201.877,23.100,169.17%,132.989,2304
204.535,27.186,176.81%,131.054,2304
192.975,32.613,167.47%,134.702,2176
226.413,5.680,175.40%,132.323,2176
205.915,10.439,156.28%,138.440,2304
217.987,11.995,172.80%,133.095,2304
225.235,5.973,175.89%,131.454,2304
227.283,3.807,176.34%,131.051,2304
214.185,15.311,175.72%,130.600,2304
222.675,7.100,175.34%,131.048,2176
209.541,14.203,168.32%,132.927,2304
229.867,1.525,176.83%,130.853,2304
216.452,3.254,165.98%,132.370,2304
225.361,4.626,175.28%,131.211,2304
212.151,18.965,176.01%,131.306,2176
220.626,7.571,171.46%,133.094,2560
221.935,0.161,165.71%,134.024,2304
222.028,8.340,174.54%,131.984,2304
227.577,0.655,172.00%,132.694,2176
214.275,14.732,173.14%,132.271,2304
212.722,0.624,156.76%,136.100,2304
230.324,0.436,175.42%,131.546,2304
221.988,9.360,176.35%,131.188,2304
218.446,3.360,166.69%,133.065,2304
228.530,0.000,172.67%,132.351,2304
229.359,1.111,173.79%,132.612,2176
213.031,10.513,164.82%,135.628,2432
223.855,4.696,173.08%,132.048,2304
214.920,15.694,174.68%,132.020,2176
225.154,5.738,175.61%,131.483,2304
225.858,4.769,175.25%,131.601,2304
209.203,18.393,169.53%,134.252,2304
226.016,2.305,173.86%,131.324,2304
217.663,11.869,175.44%,130.833,2304
222.970,4.660,172.80%,131.734,2304
206.424,11.999,163.86%,133.298,2304
223.144,4.027,170.58%,133.175,2304
221.160,4.576,172.22%,131.077,2304
228.058,4.249,176.48%,131.634,2176
217.698,16.153,175.90%,132.949,2304
225.386,6.709,175.78%,132.034,2304
226.169,4.500,175.07%,131.755,2176
218.636,5.767,164.97%,136.024,2176
230.077,0.000,174.74%,131.671,2304
219.471,9.726,172.79%,132.641,2304
214.169,18.385,176.00%,132.135,2176
221.555,8.360,174.87%,131.481,2304
223.271,1.655,166.87%,134.790,2176
226.694,4.276,175.20%,131.834,2176
222.738,6.824,174.04%,131.905,2304
222.021,8.405,174.44%,132.093,2304
215.039,13.588,172.78%,132.322,2304
220.687,6.978,173.00%,131.595,2176
209.825,22.517,175.07%,132.714,2304
221.636,8.997,175.49%,131.424,2176
226.562,5.546,176.10%,131.804,2176
212.836,2.423,156.69%,137.381,2304
225.970,1.774,173.96%,130.916,2304
217.203,15.163,176.96%,131.309,2176
217.611,8.205,169.60%,133.145,2304
219.823,11.615,174.30%,132.782,2304
224.239,6.837,175.53%,131.644,2176
205.739,12.977,164.82%,132.696,2176
216.828,9.707,172.04%,131.672,2304
228.094,4.575,176.06%,132.156,2176
219.808,8.682,173.01%,132.071,2304
221.317,8.408,173.17%,132.660,2304
201.646,10.534,154.96%,136.928,2304
222.267,6.276,172.42%,132.554,2304
224.214,5.894,175.11%,131.409,2176
220.763,11.111,175.37%,132.220,2304
215.994,16.331,176.11%,131.920,2304
223.602,5.561,173.99%,131.714,2176
207.890,18.561,168.82%,134.140,2304
202.226,15.054,160.51%,135.365,2304
219.817,11.472,174.33%,132.677,2560
207.253,11.950,161.42%,135.797,2304
201.596,23.494,168.10%,133.904,2304
229.020,0.835,174.26%,131.903,2304
228.200,2.196,174.45%,132.067,2304
230.460,2.366,176.20%,132.139,2304
223.742,6.035,175.63%,130.833,2304
224.948,5.647,175.03%,131.745,2304
213.471,15.654,175.03%,130.906,2176
219.755,10.881,175.45%,131.455,2176
222.935,8.460,175.92%,131.535,2304
226.810,4.272,174.50%,132.425,2304
217.675,6.994,168.03%,133.709,2176
231.757,0.000,175.46%,132.085,2304
223.881,4.735,173.02%,132.134,2304
224.316,7.790,175.64%,132.145,2304
216.751,8.494,170.51%,132.103,2304
225.261,0.822,167.89%,134.659,2176
226.921,0.580,172.67%,131.758,2304
208.630,21.282,163.83%,140.338,2304
226.677,1.011,171.87%,132.475,2304
228.133,3.518,176.28%,131.409,2304
204.545,16.469,165.00%,133.947,2304
199.522,16.734,159.24%,135.808,2304
228.513,2.245,175.71%,131.330,2304
284.456,3.918,163.48%,176.394,2304
219.181,0.000,163.15%,134.344,2304
221.706,10.562,175.47%,132.367,2176
222.400,6.038,172.15%,132.700,2304
223.640,8.517,174.72%,132.876,2304
216.579,8.820,169.17%,133.236,2304
231.714,0.000,175.54%,131.998,2304
231.126,0.122,174.67%,132.395,2304
231.804,0.607,175.15%,132.693,2304
219.274,11.950,175.18%,131.990,2304
226.212,0.387,172.70%,131.212,2304
200.454,32.109,176.45%,131.805,2304
223.813,3.439,171.64%,132.404,2176
223.875,8.393,175.50%,132.344,2560
229.059,1.768,174.88%,131.993,2304
222.936,7.481,175.78%,131.083,2304
213.576,15.836,175.88%,130.439,2176
230.391,1.792,175.37%,132.397,2176
203.124,21.004,167.69%,133.656,2176
207.587,23.032,175.41%,131.476,2176
222.644,3.199,169.69%,133.092,2176
228.309,0.000,172.14%,132.632,2176
225.762,4.741,175.82%,131.105,2304
225.928,4.977,175.12%,131.856,2304
196.270,21.128,159.24%,136.526,2176
230.129,0.552,176.22%,130.905,2176
226.199,0.725,173.42%,130.851,2304
227.088,4.458,176.72%,131.021,2304
230.148,0.948,175.15%,131.939,2304
215.162,16.955,175.81%,132.026,2304
205.623,13.095,163.69%,133.614,2176
227.010,2.360,175.48%,130.708,2304
221.031,7.724,174.05%,131.433,2304
232.927,0.000,175.90%,132.419,2176
223.615,3.770,172.26%,132.003,2304
209.598,10.560,164.72%,133.657,2176
218.724,11.607,175.20%,131.468,2176
213.385,18.082,173.71%,133.252,2304
214.124,12.442,172.51%,131.331,2176
226.870,6.337,175.94%,132.546,2304
224.918,4.590,175.11%,131.063,2304
215.877,9.815,170.58%,132.308,2304
215.443,14.769,173.52%,132.669,2304
223.551,4.788,173.34%,131.731,2176
225.150,6.899,176.37%,131.569,2304
225.386,8.270,175.92%,132.816,2176
216.118,13.319,175.99%,130.372,2304
229.764,2.857,176.21%,132.016,2304
213.481,17.818,175.09%,132.100,2304
221.925,7.128,176.02%,130.127,2304
206.011,18.502,171.58%,130.847,2176
229.068,0.439,174.00%,131.903,2176
211.384,5.110,161.78%,133.823,2304
219.106,13.064,175.29%,132.452,2304
222.081,8.580,174.50%,132.182,2304
230.648,0.500,176.42%,131.023,2176
212.046,14.756,170.64%,132.915,2304
226.725,1.031,172.64%,131.927,2304
223.327,6.927,175.07%,131.519,2304
220.190,10.032,173.47%,132.714,2304
220.953,11.707,174.67%,133.202,2560
221.181,4.976,169.85%,133.148,2176
200.190,12.855,152.95%,139.291,2304
222.080,8.529,170.69%,135.107,2176
215.451,8.772,170.30%,131.660,2304
228.241,0.296,172.52%,132.467,2304
218.266,10.724,174.41%,131.292,2304
214.335,1.434,161.64%,133.490,2304
203.014,13.147,159.25%,135.741,2304
228.730,0.940,175.14%,131.139,2176
220.469,4.762,170.10%,132.412,2304
219.441,11.723,174.27%,132.648,2176
212.633,10.906,167.71%,133.288,2304
220.688,7.240,172.88%,131.844,2304
217.259,5.411,164.05%,135.733,2304
226.643,4.495,175.49%,131.712,2176
228.563,2.752,175.74%,131.623,2176
221.595,8.986,175.15%,131.645,2304
219.684,8.902,173.44%,131.795,2304
227.895,4.229,176.21%,131.731,2304
206.414,23.107,174.26%,131.715,2176
217.160,13.307,175.11%,131.611,2304
217.915,13.097,175.96%,131.285,2176
214.039,16.135,175.52%,131.142,2176
229.473,1.738,175.62%,131.651,2176
227.455,3.810,175.45%,131.811,2304
214.891,17.716,175.07%,132.864,2304
213.579,14.685,171.88%,132.805,2304
213.682,18.518,174.10%,133.374,2176
