user_time,system_time,cpu_percent,wallclock_time,max_rss
173.303,17.440,204.53%,93.260,1792
159.692,23.607,186.68%,98.187,1972
184.600,6.827,201.26%,95.114,2560
175.183,10.538,198.40%,93.611,1792
189.348,0.000,200.96%,94.222,1920
174.493,8.275,194.70%,93.872,1792
186.309,3.292,195.73%,96.867,2304
170.620,10.697,179.16%,101.202,2560
182.211,7.066,202.87%,93.302,2176
177.688,0.000,185.96%,95.550,1920
185.369,5.440,193.76%,98.477,2048
189.005,2.321,203.77%,93.891,1920
180.933,5.574,197.19%,94.584,1920
164.774,18.346,191.36%,95.694,1844
180.396,0.000,188.20%,95.854,1920
173.765,9.313,194.97%,93.901,1920
187.003,3.333,200.55%,94.909,1920
178.838,8.531,197.89%,94.685,2048
178.021,9.681,195.47%,96.026,1792
162.337,9.458,169.65%,101.263,1792
189.245,0.000,199.09%,95.054,1792
185.796,2.777,201.81%,93.441,1792
175.351,2.562,178.31%,99.775,2432
192.969,0.000,203.14%,94.995,1920
181.854,13.599,187.10%,104.465,1792
169.019,7.616,175.56%,100.610,1920
188.300,0.000,200.81%,93.772,1792
181.894,0.000,192.78%,94.351,1920
162.983,10.911,172.70%,100.693,1920
194.855,0.000,199.30%,97.770,1792
189.706,0.764,204.83%,92.990,1920
166.659,10.528,182.34%,97.176,1920
193.040,0.000,204.87%,94.224,2048
188.833,4.805,206.56%,93.743,1920
192.953,0.000,206.18%,93.587,1792
188.917,8.230,206.75%,95.353,1792
177.586,16.673,206.50%,94.070,1920
178.493,14.588,204.60%,94.371,1792
182.458,7.643,202.18%,94.027,1920
173.943,0.000,169.02%,102.910,2560
186.298,8.688,206.32%,94.505,1920
171.428,13.587,193.94%,95.397,1792
175.528,16.326,206.72%,92.811,1792
178.647,2.241,187.40%,96.527,1920
188.701,0.459,201.22%,94.005,1664
194.528,0.000,204.03%,95.343,1920
184.716,9.390,206.61%,93.949,1920
162.211,18.529,187.46%,96.415,1792
180.124,10.427,202.37%,94.159,1920
171.591,16.572,198.67%,94.713,2560
189.680,0.000,201.38%,94.191,1792
185.104,5.423,200.78%,94.893,1792
174.583,10.399,193.80%,95.450,1920
194.202,1.037,206.02%,94.767,1920
182.295,3.963,197.70%,94.211,1920
176.636,2.211,181.65%,98.455,2048
220.447,8.477,194.15%,117.913,2048
173.749,3.096,171.30%,103.240,1920
182.353,6.083,200.06%,94.189,2048
172.254,6.921,185.93%,96.366,1664
157.897,23.623,193.18%,93.966,1792
196.386,0.000,205.73%,95.458,1920
172.434,5.825,168.22%,105.969,1980
185.534,3.652,201.88%,93.712,1920
176.801,2.945,187.03%,96.107,1920
190.725,4.364,207.54%,94.002,1792
159.649,11.566,168.93%,101.353,1792
190.748,0.000,200.84%,94.974,1664
173.940,10.935,194.57%,95.017,1920
174.757,0.000,174.32%,100.251,1920
190.303,1.537,205.61%,93.304,1792
179.108,2.252,192.79%,94.073,1848
235.639,0.956,184.29%,128.379,1920
183.181,9.215,204.88%,93.905,1920
190.957,0.000,203.28%,93.937,1792
183.967,7.245,200.91%,95.172,2492
174.478,14.380,197.19%,95.775,1848
171.750,5.505,177.85%,99.665,2432
183.239,1.535,195.81%,94.364,2048
185.235,5.469,203.04%,93.926,1920
171.687,20.168,205.48%,93.371,1792
190.446,2.091,205.92%,93.501,1792
183.679,10.088,206.08%,94.026,1920
186.674,0.000,194.72%,95.870,1920
179.512,10.351,203.54%,93.278,1920
192.453,0.426,207.43%,92.985,1792
185.389,7.926,206.20%,93.749,1920
191.873,1.010,205.55%,93.838,1792
191.556,0.298,204.27%,93.921,2304
182.648,2.960,195.34%,95.016,2048
185.745,4.182,200.80%,94.584,1920
183.515,8.774,205.62%,93.517,1792
184.436,7.582,206.48%,92.997,1920
181.885,4.417,193.23%,96.413,1920
175.893,7.699,191.52%,95.862,1792
188.811,2.221,204.15%,93.575,1920
192.983,0.217,205.57%,93.984,1920
188.629,0.000,200.87%,93.905,1792
192.681,0.000,206.01%,93.528,1792
190.733,1.460,205.10%,93.706,1792
183.303,0.138,190.69%,96.196,2104
184.741,8.655,206.84%,93.500,1792
175.904,6.480,187.81%,97.110,1792
192.613,0.000,203.94%,94.445,1920
186.818,1.845,197.34%,95.604,1792
177.303,16.738,205.00%,94.654,1792
168.558,12.535,186.83%,96.931,2304
179.537,14.656,206.06%,94.243,1920
193.087,0.000,206.00%,93.732,1920
177.085,0.000,180.25%,98.247,1920
182.277,0.000,181.31%,100.534,2176
172.378,11.768,194.85%,94.506,2048
193.474,0.000,204.08%,94.801,1848
184.847,8.728,206.74%,93.630,1920
192.081,1.287,204.69%,94.470,2432
184.207,0.000,196.09%,93.940,1920
176.377,7.451,190.09%,96.705,1920
189.114,3.276,206.00%,93.392,2176
174.856,17.120,206.16%,93.121,1792
191.673,0.000,205.02%,93.488,2304
193.792,0.000,204.75%,94.647,1792
191.383,0.000,206.17%,92.827,1792
185.227,5.070,203.29%,93.607,1792
194.437,0.000,204.37%,95.140,2560
175.225,4.255,182.47%,98.364,2304
185.995,4.341,202.23%,94.117,1852
191.491,0.000,205.32%,93.263,1792
190.168,2.013,205.78%,93.392,1792
192.331,0.000,204.90%,93.864,1920
190.925,0.000,203.07%,94.021,1920
193.835,0.000,206.31%,93.951,1792
185.755,1.635,199.21%,94.065,2048
188.554,5.321,206.95%,93.681,1792
197.085,0.452,206.45%,95.684,1920
182.738,4.338,199.19%,93.917,1980
186.099,2.148,200.26%,94.000,1792
183.822,9.011,206.15%,93.542,1792
179.941,6.391,198.94%,93.661,1848
193.163,0.000,205.50%,93.996,1792
174.051,4.282,181.71%,98.141,2048
177.875,14.937,205.92%,93.636,1792
192.497,0.000,205.58%,93.634,1792
184.473,10.744,205.83%,94.844,1920
178.869,8.831,199.10%,94.273,1792
187.818,1.580,193.30%,97.982,1920
175.329,12.031,196.46%,95.367,1920
175.117,18.550,208.35%,92.954,1920
163.183,24.215,194.18%,96.507,1920
189.015,5.223,205.62%,94.463,1920
167.187,10.436,178.41%,99.558,1844
184.721,7.458,201.77%,95.248,1848
187.277,5.970,206.70%,93.489,1792
189.809,3.805,206.92%,93.571,1792
181.108,10.871,206.25%,93.079,1792
185.675,6.672,205.47%,93.614,1920
174.551,10.783,196.10%,94.509,2048
192.894,1.340,207.45%,93.627,1792
181.508,0.359,192.40%,94.526,1920
192.238,0.000,205.70%,93.457,1792
179.045,14.845,206.26%,94.001,1920
185.452,4.241,200.55%,94.585,2560
184.086,0.158,191.59%,96.168,1792
184.610,7.705,204.76%,93.923,1792
190.159,0.000,200.98%,94.616,1976
176.771,14.205,202.66%,94.233,1792
175.836,0.000,178.37%,98.581,1920
192.819,0.000,206.01%,93.599,1792
184.103,9.358,207.37%,93.295,1920
183.561,0.000,193.61%,94.809,1920
190.967,0.000,201.60%,94.726,1852
192.345,0.000,203.58%,94.479,1920
174.848,10.510,190.23%,97.437,2432
190.957,0.000,202.27%,94.409,1920
176.664,15.692,205.16%,93.757,1920
191.927,0.936,206.39%,93.447,1792
192.564,0.144,205.72%,93.676,1792
171.288,18.390,196.91%,96.327,2304
189.058,1.628,203.54%,93.683,1664
180.312,10.996,206.59%,92.602,1920
189.935,0.000,201.99%,94.032,1664
176.312,4.887,188.61%,96.069,1792
185.567,3.328,199.06%,94.894,1792
188.429,0.000,201.16%,93.672,1792
190.911,3.511,207.41%,93.737,1920
180.316,15.657,206.17%,95.056,1920
188.182,6.075,206.25%,94.184,1792
193.128,0.000,205.01%,94.203,1920
180.777,5.173,190.59%,97.566,2048
192.149,0.000,204.99%,93.738,1792
184.416,6.145,202.73%,93.999,2048
176.986,17.822,206.40%,94.384,1920
186.618,5.461,205.13%,93.639,1792
186.060,1.036,192.97%,96.955,1920
188.841,4.274,205.50%,93.974,1920
189.216,2.213,204.15%,93.767,1920
184.786,7.980,204.14%,94.426,1792
181.680,8.924,202.14%,94.292,1844
183.652,6.430,202.20%,94.008,1792
175.080,19.149,205.48%,94.526,1792
187.085,5.847,205.87%,93.717,1920
194.007,0.000,207.06%,93.698,1920
174.869,2.420,178.35%,99.406,1920
188.855,1.152,203.99%,93.144,1848
188.241,6.728,207.62%,93.907,2176
182.787,4.918,197.64%,94.972,2048
184.608,8.274,206.34%,93.479,1792
189.470,3.598,206.20%,93.630,1920
172.680,8.259,190.63%,94.915,1920
179.185,9.704,201.00%,93.977,1792
194.937,0.000,206.46%,94.419,1920
191.391,0.047,201.49%,95.011,1792
