user_time,system_time,cpu_percent,wallclock_time,max_rss
65.333,32.741,100.46%,97.626,30040
52.093,48.190,100.38%,99.905,30020
47.646,52.152,100.42%,99.381,29624
59.771,40.113,100.43%,99.456,30008
51.783,47.462,100.42%,98.827,30048
44.362,56.757,100.34%,100.774,30120
44.009,56.718,100.32%,100.409,29612
43.179,55.925,100.42%,98.685,29660
40.045,60.781,100.39%,100.437,29692
40.126,60.586,100.40%,100.312,30044
46.903,52.950,100.37%,99.485,29688
48.673,52.014,100.43%,100.259,30080
61.342,40.054,100.60%,100.793,29572
40.505,60.925,100.42%,101.008,30044
52.563,48.712,100.32%,100.949,30136
31.966,69.179,100.08%,101.064,30176
40.264,60.815,100.37%,100.709,30136
48.532,53.021,100.42%,101.125,29952
52.438,48.708,100.39%,100.750,30068
48.649,52.926,100.23%,101.342,30128
44.731,57.172,100.35%,101.553,30064
55.701,46.054,100.54%,101.210,30016
31.529,67.973,100.37%,99.134,29624
39.725,60.764,100.27%,100.214,30016
41.611,58.794,100.29%,100.117,30272
60.325,40.202,100.29%,100.239,30168
48.724,52.437,100.34%,100.820,30028
42.050,59.047,100.46%,100.634,30084
42.242,59.195,100.25%,101.187,30192
45.136,55.544,100.47%,100.205,30044
53.614,47.239,100.30%,100.550,30008
48.042,53.576,100.51%,101.099,29996
53.614,47.082,100.39%,100.301,30012
60.845,39.764,100.46%,100.145,30076
55.747,43.974,100.37%,99.352,30040
31.799,68.659,100.54%,99.923,30044
47.795,52.041,100.49%,99.353,30072
47.306,52.856,100.65%,99.519,30056
54.254,46.986,100.24%,100.993,30080
59.642,40.271,100.28%,99.635,29756
52.231,48.659,100.48%,100.405,30072
36.023,64.779,100.39%,100.406,30076
39.399,60.004,100.45%,98.958,30100
36.267,65.216,100.32%,101.159,30044
34.490,66.694,100.29%,100.888,30156
35.904,64.853,100.75%,100.003,30024
54.527,45.017,100.51%,99.035,29680
51.984,48.296,100.31%,99.974,29812
52.232,48.492,100.35%,100.371,30084
51.805,48.178,100.45%,99.539,29624
46.010,54.972,100.39%,100.585,30012
46.248,55.298,100.47%,101.070,29988
53.826,47.842,100.36%,101.301,30152
42.778,57.398,100.74%,99.443,30076
48.337,52.644,100.52%,100.458,29976
46.353,55.456,100.29%,101.515,30204
42.168,59.875,100.44%,101.593,30052
44.475,56.694,100.45%,100.715,30180
39.884,60.370,100.39%,99.866,29696
46.413,55.304,100.38%,101.335,30080
32.071,68.992,100.41%,100.649,30020
47.059,53.010,100.55%,99.525,30076
44.501,56.993,100.21%,101.280,30072
60.773,40.369,100.39%,100.746,30104
44.361,56.781,100.31%,100.827,30112
56.681,43.487,100.57%,99.604,30028
53.334,48.665,100.40%,101.589,30072
53.300,47.831,100.46%,100.670,30072
52.116,48.487,100.39%,100.210,30140
44.366,56.758,100.34%,100.777,30228
43.836,56.319,100.77%,99.385,30056
41.234,59.899,100.34%,100.787,30048
60.171,40.299,100.29%,100.183,30140
39.591,60.241,100.55%,99.285,30072
57.247,43.621,100.41%,100.455,30036
54.719,45.216,100.43%,99.510,29608
45.866,55.622,100.38%,101.101,29972
39.669,60.421,100.35%,99.743,29760
47.836,52.262,100.50%,99.604,29684
33.911,67.234,100.46%,100.679,30056
39.718,60.272,100.17%,99.822,29976
31.705,68.189,100.60%,99.298,30132
38.300,61.568,100.69%,99.182,30152
60.773,40.064,100.38%,100.457,30080
43.832,56.211,100.42%,99.621,30024
43.831,56.237,100.55%,99.517,29988
51.393,48.037,100.39%,99.043,29676
39.802,60.378,100.52%,99.661,30048
39.938,60.293,100.41%,99.818,29656
48.905,51.808,100.28%,100.428,30132
53.577,47.878,100.41%,101.046,30028
61.774,39.240,100.49%,100.526,30020
25.917,73.343,100.61%,98.662,30028
49.733,51.018,100.31%,100.441,30028
36.247,64.830,100.33%,100.749,30104
44.342,56.804,100.42%,100.727,30128
35.388,64.070,99.95%,99.503,30088
48.366,52.914,100.45%,100.829,30136
51.791,47.917,100.52%,99.194,30048
55.066,44.839,100.55%,99.359,30108
39.686,60.549,100.34%,99.899,30128
55.780,44.333,100.56%,99.554,30088
36.421,65.041,100.37%,101.089,29988
49.347,51.740,100.32%,100.766,30016
53.959,46.446,100.22%,100.183,30192
57.626,44.216,99.70%,102.147,29980
43.670,55.713,100.06%,99.324,29516
36.036,64.669,100.05%,100.658,30004
41.665,58.934,100.52%,100.077,30024
48.366,52.658,100.37%,100.651,30024
48.066,52.222,100.36%,99.928,29692
47.968,52.538,100.33%,100.174,29656
40.575,60.586,100.49%,100.668,29996
55.311,43.850,100.50%,98.670,29672
51.338,47.696,100.57%,98.477,29572
56.364,44.581,100.37%,100.575,30052
43.854,56.454,100.27%,100.035,30216
39.615,60.326,100.54%,99.405,29648
44.044,56.313,100.49%,99.864,30004
51.240,48.018,100.66%,98.603,29624
51.868,48.212,100.36%,99.717,30040
43.978,56.347,100.57%,99.757,30032
53.674,47.584,100.47%,100.787,30068
47.840,52.160,100.74%,99.267,29620
43.646,56.031,100.34%,99.338,29552
46.900,55.385,100.26%,102.019,30076
43.681,56.283,100.56%,99.411,29948
56.317,44.350,100.38%,100.283,30060
35.509,64.146,100.53%,99.130,30072
48.564,51.921,100.43%,100.059,29672
52.199,48.450,100.43%,100.214,29980
44.635,55.802,100.48%,99.954,29692
56.240,44.367,100.62%,99.990,30000
51.824,47.808,100.42%,99.212,30132
50.666,51.048,100.42%,101.287,30036
46.095,55.117,100.48%,100.728,30008
43.635,56.016,100.67%,98.990,30108
49.752,51.089,100.59%,100.252,30120
48.173,52.317,100.57%,99.925,29992
51.723,48.329,100.40%,99.651,29812
44.122,56.688,100.41%,100.401,29984
51.253,47.760,100.45%,98.569,30104
43.544,56.058,100.58%,99.032,29656
52.694,48.708,100.38%,101.018,30060
49.492,51.890,100.32%,101.063,30028
54.204,46.932,100.41%,100.728,30052
55.251,43.784,100.44%,98.604,29676
54.272,47.404,100.16%,101.512,30080
51.548,48.300,100.73%,99.121,29552
32.365,69.158,100.38%,101.138,30008
61.791,39.120,100.39%,100.522,29952
31.510,68.284,100.55%,99.250,30016
51.390,48.004,100.44%,98.959,30044
47.650,52.275,100.35%,99.579,30040
43.680,56.192,100.57%,99.305,30084
46.286,55.071,100.39%,100.958,29992
47.957,52.234,100.50%,99.691,30040
44.556,56.836,100.41%,100.978,29952
52.847,47.596,100.39%,100.055,29684
55.237,43.993,100.48%,98.757,30124
43.848,56.291,100.30%,99.835,29628
48.150,52.446,100.28%,100.316,30192
39.437,60.263,100.70%,99.009,30064
53.771,47.177,100.35%,100.599,30080
64.710,35.858,100.34%,100.228,30060
38.110,63.131,100.30%,100.938,30136
47.693,52.191,100.43%,99.459,30104
45.562,53.679,100.65%,98.603,29636
49.802,51.219,100.27%,100.748,29808
53.692,47.469,100.40%,100.754,30008
37.029,64.113,100.47%,100.673,30084
43.202,56.103,100.27%,99.035,29752
52.311,48.186,100.40%,100.097,30048
55.895,44.167,100.60%,99.469,30088
40.297,60.766,100.59%,100.472,30064
47.818,52.186,100.54%,99.463,30116
48.694,51.645,100.37%,99.974,29748
49.045,52.325,100.47%,100.896,30076
47.529,51.695,100.62%,98.616,29544
58.391,42.600,100.32%,100.670,30120
60.500,40.455,100.35%,100.607,30116
42.579,59.295,100.23%,101.637,30196
53.045,48.435,100.37%,101.107,30028
36.089,64.545,100.09%,100.545,30012
47.804,52.404,100.57%,99.638,29676
31.834,68.328,100.37%,99.794,30052
35.871,64.523,100.58%,99.815,30012
43.700,56.391,100.51%,99.578,29660
51.667,48.372,100.50%,99.545,30016
60.076,40.337,100.36%,100.053,29660
40.256,60.859,100.35%,100.760,29824
39.606,60.024,100.58%,99.052,29976
50.090,51.650,100.29%,101.447,30084
59.954,40.098,100.56%,99.497,30088
61.739,39.297,100.45%,100.586,29952
59.643,40.142,100.44%,99.352,29984
48.048,52.539,100.42%,100.170,30048
53.756,47.434,100.30%,100.885,30208
43.514,56.249,100.36%,99.403,29976
53.887,45.199,100.50%,98.589,30068
45.520,53.682,100.71%,98.506,30128
55.566,44.711,100.45%,99.827,30040
45.747,55.643,100.34%,101.049,30068
55.282,43.506,100.58%,98.214,29680
43.570,56.195,100.43%,99.342,29648
27.559,72.453,100.54%,99.478,30060
40.914,59.229,100.66%,99.488,30076
53.323,47.910,100.49%,100.736,30208
38.028,62.685,100.32%,100.395,29684
52.145,48.386,100.64%,99.891,30072
36.851,64.279,100.39%,100.733,30116
54.013,47.555,100.36%,101.203,30072
50.452,51.547,100.30%,101.691,30196
49.024,51.918,100.48%,100.458,30100
35.771,64.378,100.40%,99.751,30072
43.872,56.485,100.50%,99.855,30036
40.750,59.812,100.38%,100.185,29648
46.412,54.931,100.39%,100.946,30080
44.821,56.319,100.12%,101.019,29984
32.124,69.042,100.38%,100.780,30048
59.309,40.229,100.59%,98.957,29572
33.841,68.451,100.41%,101.875,30012
45.010,55.448,100.35%,100.103,30120
49.242,51.652,100.40%,100.494,30064
31.419,67.986,100.47%,98.936,29612
43.358,55.709,100.61%,98.468,29672
54.229,45.399,100.62%,99.012,30060
47.637,52.378,100.44%,99.581,30096
51.530,48.198,100.55%,99.178,30068
37.521,62.411,100.50%,99.430,30072
63.936,36.016,100.54%,99.416,30088
52.110,48.422,100.36%,100.171,29668
37.155,64.160,100.39%,100.924,30144
61.851,37.034,100.44%,98.452,29580
52.548,47.656,100.37%,99.831,30048
51.649,47.903,100.53%,99.030,30052
48.187,52.496,100.36%,100.324,30080
45.210,55.581,100.38%,100.405,30212
52.667,48.897,99.95%,101.618,30120
53.706,48.464,100.46%,101.707,30116
53.793,47.156,100.14%,100.812,30152
55.190,44.057,100.51%,98.743,29640
54.076,47.097,100.51%,100.661,30024
37.494,64.208,100.52%,101.172,29988
45.635,55.459,100.29%,100.799,30064
34.232,66.780,100.35%,100.663,30200
51.965,48.208,100.35%,99.822,30048
45.745,55.182,100.66%,100.266,30072
48.294,52.574,100.48%,100.390,30168
