user_time,system_time,cpu_percent,wallclock_time,max_rss
0.009,0.002,101.89%,0.011,0
0.010,0.003,110.38%,0.012,0
0.010,0.003,109.86%,0.012,0
0.011,0.002,101.15%,0.013,0
0.013,0.000,103.84%,0.013,0
0.011,0.003,106.78%,0.013,0
0.010,0.002,101.10%,0.012,0
0.010,0.003,104.94%,0.012,0
0.009,0.002,97.86%,0.011,0
0.012,0.000,98.04%,0.012,0
0.010,0.002,104.35%,0.012,0
0.010,0.003,106.04%,0.012,0
0.011,0.002,105.56%,0.012,0
0.010,0.003,106.21%,0.012,0
0.012,0.000,99.39%,0.012,0
0.010,0.003,99.30%,0.013,0
0.010,0.003,100.00%,0.013,0
0.011,0.002,107.67%,0.012,0
0.009,0.002,98.19%,0.011,0
0.009,0.002,97.86%,0.011,0
0.013,0.000,104.47%,0.012,0
0.010,0.002,99.39%,0.012,0
0.010,0.003,104.94%,0.012,0
0.012,0.000,112.11%,0.011,0
0.014,0.004,97.59%,0.018,0
0.010,0.002,98.94%,0.012,0
0.013,0.000,102.48%,0.013,0
0.012,0.000,95.44%,0.013,0
0.010,0.003,99.58%,0.013,0
0.012,0.000,98.18%,0.012,0
0.011,0.002,108.84%,0.012,0
0.010,0.003,104.00%,0.013,0
0.013,0.000,103.85%,0.013,0
0.011,0.002,100.86%,0.013,0
0.012,0.000,94.05%,0.013,0
0.010,0.003,105.56%,0.012,0
0.010,0.002,95.57%,0.013,0
0.010,0.002,96.00%,0.013,0
0.010,0.003,104.00%,0.013,0
0.011,0.000,93.99%,0.012,0
0.009,0.002,97.05%,0.011,0
0.010,0.002,102.05%,0.012,0
0.008,0.002,89.41%,0.011,0
0.010,0.002,98.33%,0.012,0
0.010,0.003,107.50%,0.012,0
0.013,0.000,104.63%,0.012,0
0.009,0.002,99.33%,0.011,0
0.010,0.003,103.69%,0.013,0
0.011,0.003,108.47%,0.013,0
0.011,0.003,109.09%,0.013,0
0.012,0.000,100.15%,0.012,0
0.010,0.002,97.44%,0.012,0
0.009,0.002,92.81%,0.012,0
0.011,0.002,103.54%,0.013,0
0.011,0.002,99.30%,0.013,0
0.010,0.003,99.01%,0.013,0
0.012,0.003,102.79%,0.015,0
0.011,0.002,112.68%,0.012,0
0.010,0.003,100.43%,0.013,0
0.010,0.003,101.88%,0.013,0
0.009,0.004,105.41%,0.012,0
0.013,0.000,100.86%,0.013,0
0.010,0.002,99.69%,0.012,0
0.010,0.003,105.25%,0.012,0
0.010,0.002,95.85%,0.013,0
0.010,0.001,93.55%,0.012,0
0.009,0.002,96.74%,0.011,0
0.013,0.000,97.91%,0.013,0
0.010,0.003,102.34%,0.013,0
0.013,0.000,102.33%,0.013,0
0.010,0.002,102.54%,0.012,0
0.011,0.002,105.09%,0.012,0
0.017,0.003,102.28%,0.020,0
0.010,0.002,94.46%,0.013,0
0.012,0.000,97.44%,0.012,0
0.010,0.002,101.41%,0.012,0
0.011,0.003,108.31%,0.013,0
0.010,0.003,109.85%,0.012,0
0.011,0.002,100.86%,0.013,0
0.010,0.002,95.72%,0.013,0
0.009,0.002,95.65%,0.012,0
0.010,0.003,104.15%,0.012,0
0.010,0.003,103.70%,0.013,0
0.012,0.000,95.16%,0.013,0
0.010,0.003,105.25%,0.012,0
0.011,0.003,106.03%,0.013,0
0.010,0.002,105.54%,0.011,0
0.010,0.002,99.84%,0.012,0
0.009,0.002,95.65%,0.012,0
