user_time,system_time,cpu_percent,wallclock_time,max_rss
19.484,0.000,99.97%,19.490,3584
16.148,4.041,99.61%,20.268,3584
15.890,3.885,99.96%,19.782,3584
15.956,3.953,99.95%,19.918,3584
18.021,1.588,99.96%,19.617,3456
19.789,0.000,99.96%,19.797,3456
15.192,3.442,99.96%,18.642,3584
19.800,0.000,99.97%,19.805,3456
11.900,7.892,99.96%,19.800,3584
15.922,3.835,99.95%,19.766,3584
11.841,7.877,99.96%,19.726,3584
20.001,0.213,99.97%,20.219,3584
15.913,3.991,99.97%,19.910,3584
18.899,0.000,99.96%,18.906,3584
15.968,3.888,99.96%,19.865,3584
11.834,7.800,99.95%,19.643,3456
16.062,3.914,99.78%,20.021,3584
15.608,3.698,99.96%,19.313,3456
15.397,3.655,99.96%,19.060,3584
15.875,3.822,99.95%,19.706,3584
16.078,3.885,99.96%,19.970,3584
19.754,0.197,99.98%,19.955,3584
17.257,1.268,99.96%,18.533,3584
15.943,3.845,99.96%,19.796,3584
15.960,4.096,99.96%,20.064,3584
16.061,4.012,99.65%,20.144,3584
11.954,8.004,99.96%,19.966,3584
19.819,0.054,99.97%,19.879,3584
19.906,0.081,99.97%,19.992,3584
15.854,4.008,99.62%,19.937,3456
18.608,1.224,99.97%,19.839,3584
13.686,5.213,99.95%,18.908,3584
15.965,4.046,99.97%,20.016,3584
18.541,1.198,99.97%,19.745,3584
11.901,7.934,99.96%,19.843,3456
16.017,3.925,99.96%,19.951,3456
11.448,7.541,99.96%,18.996,3584
15.699,4.110,99.96%,19.816,3456
19.901,0.070,99.97%,19.978,3584
15.999,3.985,99.96%,19.991,3584
15.311,3.559,99.95%,18.880,3584
16.062,3.932,99.96%,20.002,3584
15.963,3.961,99.96%,19.931,3584
12.011,7.927,99.96%,19.946,3456
19.827,0.073,99.98%,19.903,3584
15.996,3.892,99.97%,19.895,3584
15.825,3.878,99.96%,19.711,3584
12.049,8.033,99.96%,20.090,3584
19.835,0.101,99.72%,19.992,3584
19.741,0.000,99.96%,19.748,3584
19.860,0.083,99.97%,19.949,3584
15.845,3.963,99.97%,19.814,3584
11.314,7.595,99.96%,18.916,3584
20.049,0.000,99.96%,20.058,3584
18.981,0.000,99.97%,18.987,3584
11.509,7.620,99.39%,19.247,3584
15.707,4.235,99.97%,19.947,3456
16.127,3.984,99.97%,20.118,3456
15.421,3.373,99.97%,18.801,3584
19.932,0.065,99.97%,20.003,3584
7.939,11.982,99.96%,19.929,3584
19.918,0.000,99.93%,19.932,3584
16.063,3.894,99.96%,19.965,3456
15.694,3.890,99.98%,19.588,3584
12.035,8.000,99.71%,20.094,3456
19.819,0.111,99.97%,19.935,3584
19.933,0.024,99.96%,19.965,3584
13.866,5.160,99.49%,19.123,3584
15.298,3.570,99.95%,18.877,3584
16.045,3.889,99.95%,19.944,3584
16.004,3.940,99.96%,19.952,3456
20.072,0.154,99.96%,20.234,3456
16.058,3.989,99.96%,20.055,3456
16.007,3.964,99.96%,19.980,3584
11.986,7.969,99.96%,19.962,3584
13.582,6.434,99.34%,20.149,3584
20.046,0.093,99.96%,20.147,3584
16.137,4.035,99.96%,20.180,3584
16.025,3.965,99.96%,19.998,3456
18.894,0.000,99.96%,18.901,3456
15.926,3.877,99.96%,19.811,3584
15.621,3.606,99.96%,19.235,3456
19.924,0.000,99.95%,19.934,3456
19.955,0.098,99.97%,20.059,3584
19.942,0.000,99.97%,19.949,3584
15.962,3.923,99.96%,19.893,3584
19.604,0.000,99.97%,19.610,3584
17.556,1.001,99.97%,18.563,3584
11.460,7.349,99.71%,18.863,3456
19.849,0.102,99.97%,19.957,3584
12.011,7.999,97.07%,20.613,3584
15.865,3.984,99.96%,19.858,3584
15.677,4.040,99.96%,19.724,3584
16.028,4.098,99.97%,20.132,3584
19.181,0.000,99.96%,19.188,3584
15.376,3.474,99.96%,18.858,3456
19.030,0.000,99.96%,19.037,3584
16.136,3.953,99.96%,20.097,3584
19.749,0.000,99.97%,19.755,3456
15.839,3.891,99.97%,19.737,3584
16.043,3.949,99.96%,20.000,3456
7.119,11.585,99.96%,18.712,3584
16.102,3.888,99.96%,19.998,3584
15.982,4.072,99.97%,20.060,3584
19.751,0.070,91.37%,21.694,3584
11.872,7.921,99.12%,19.969,3584
18.638,0.000,99.96%,18.646,3584
11.562,7.444,99.95%,19.015,3584
18.748,0.000,99.96%,18.755,3584
11.949,7.950,99.95%,19.909,3584
16.233,4.109,99.56%,20.433,3584
