user_time,system_time,cpu_percent,wallclock_time,max_rss
38.961,0.000,99.89%,39.005,2304
37.426,0.447,99.98%,37.880,2176
37.174,0.499,99.79%,37.754,2176
35.156,3.616,99.99%,38.777,2304
38.542,0.000,99.86%,38.594,2304
37.742,0.000,99.98%,37.748,2304
37.422,0.582,99.87%,38.055,2304
37.723,0.645,99.98%,38.376,2304
35.310,3.376,99.98%,38.694,2176
38.654,0.000,99.83%,38.721,2304
35.492,3.637,99.98%,39.136,2304
28.927,8.676,99.98%,37.610,2176
33.543,4.671,99.98%,38.222,2176
39.227,0.000,99.91%,39.261,2304
38.197,0.000,99.99%,38.202,2176
35.148,3.170,99.98%,38.326,2304
31.838,7.717,99.99%,39.559,2176
38.259,0.000,99.81%,38.332,2304
33.300,4.457,99.98%,37.763,2304
39.458,0.000,99.98%,39.464,2304
38.008,0.000,99.83%,38.074,2304
37.201,0.785,99.98%,37.992,2176
37.711,0.000,99.98%,37.717,2176
35.032,3.271,99.98%,38.310,2176
37.497,0.000,99.99%,37.502,2176
34.649,3.447,99.90%,38.133,2176
37.170,1.074,99.98%,38.251,2304
33.591,4.973,99.99%,38.570,2176
33.065,4.669,99.98%,37.741,2304
36.932,0.742,99.99%,37.679,2304
37.798,0.000,99.98%,37.804,2176
34.614,3.518,99.98%,38.138,2304
33.452,4.746,99.91%,38.231,2304
34.759,3.484,99.80%,38.319,2176
37.593,0.000,99.81%,37.665,2304
37.571,0.000,99.99%,37.575,2304
38.020,0.000,99.99%,38.025,2176
36.371,0.929,99.98%,37.306,2304
33.042,4.598,99.98%,37.646,2176
34.577,3.506,99.99%,38.088,2176
30.640,7.316,99.82%,38.023,2176
37.677,0.000,99.99%,37.683,2304
33.404,4.803,99.98%,38.213,2304
34.979,2.861,99.99%,37.845,2304
24.990,12.940,99.99%,37.936,2304
38.622,0.000,99.99%,38.628,2176
37.879,0.000,99.82%,37.948,2304
38.230,0.000,99.98%,38.237,2304
32.837,4.719,99.73%,37.657,2176
33.375,4.377,99.96%,37.767,2176
36.770,0.527,99.99%,37.302,2304
33.152,4.716,99.98%,37.876,2304
33.236,4.730,99.98%,37.972,2176
38.040,0.000,99.66%,38.170,2176
33.872,4.124,99.97%,38.008,2176
36.988,0.713,99.99%,37.707,2176
37.122,1.595,99.98%,38.724,2304
38.650,0.000,99.77%,38.739,2304
36.932,0.562,99.98%,37.500,2176
29.179,8.658,99.81%,37.910,2304
35.159,3.023,99.99%,38.185,2176
38.579,0.000,99.98%,38.586,2176
38.288,0.000,99.41%,38.515,2304
36.823,0.561,99.98%,37.391,2176
37.738,0.000,99.99%,37.743,2304
33.184,4.619,99.86%,37.858,2304
34.533,3.333,99.90%,37.902,2304
30.836,7.334,99.98%,38.178,2304
34.756,3.433,99.99%,38.192,2176
37.496,0.000,99.98%,37.502,2176
38.235,0.000,99.98%,38.242,2304
34.616,3.321,99.82%,38.006,2304
33.148,4.376,99.98%,37.531,2304
38.563,0.000,99.84%,38.626,2176
33.360,4.696,99.97%,38.067,2304
37.122,0.816,99.98%,37.944,2304
33.039,4.493,99.97%,37.544,2304
32.917,4.408,99.87%,37.374,2176
37.856,0.694,99.85%,38.609,2304
37.283,0.376,99.98%,37.666,2304
38.467,0.000,99.81%,38.539,2304
33.015,4.709,99.98%,37.730,2304
34.903,3.016,99.98%,37.925,2304
37.476,0.656,99.81%,38.206,2176
37.285,0.432,99.99%,37.722,2176
34.577,3.119,99.98%,37.703,2304
33.864,4.551,99.99%,38.420,2304
38.109,0.000,99.98%,38.115,2304
33.338,5.056,99.89%,38.437,2304
37.053,0.730,99.98%,37.790,2304
38.057,0.000,99.89%,38.100,2304
34.255,3.523,99.99%,37.783,2304
32.345,4.976,99.84%,37.379,2176
33.288,4.750,99.86%,38.091,2304
33.451,3.976,99.97%,37.440,2304
33.219,4.552,99.90%,37.807,2304
33.747,4.400,99.98%,38.156,2176
38.340,0.000,99.98%,38.346,2304
37.376,0.437,99.99%,37.818,2304
38.308,0.000,99.98%,38.315,2304
37.127,0.000,99.99%,37.132,2304
37.586,0.653,99.81%,38.310,2304
30.998,6.945,99.99%,37.947,2304
36.962,0.645,99.98%,37.613,2176
28.900,8.637,99.98%,37.543,2304
37.682,0.000,99.54%,37.858,2304
35.571,2.697,97.40%,39.291,2304
33.042,4.721,99.98%,37.769,2176
33.036,4.269,99.98%,37.311,2176
38.204,0.000,99.98%,38.211,2176
33.203,4.596,99.98%,37.806,2176
38.159,0.000,99.99%,38.163,2304
32.647,4.865,99.99%,37.517,2304
37.131,0.443,99.98%,37.582,2304
37.810,0.000,99.82%,37.879,2304
38.048,0.000,99.98%,38.054,2304
29.386,8.845,99.98%,38.237,2176
34.277,3.048,99.99%,37.329,2304
37.605,0.000,99.98%,37.612,2304
37.677,0.000,99.99%,37.682,2176
37.370,0.363,99.83%,37.799,2304
37.503,0.503,99.99%,38.011,2304
29.425,8.666,99.98%,38.097,2304
37.557,0.699,99.98%,38.262,2176
38.419,0.000,99.99%,38.422,2304
37.018,0.699,99.98%,37.724,2304
37.295,0.545,99.96%,37.854,2304
35.279,3.546,99.90%,38.862,2304
29.055,8.541,99.99%,37.601,2176
32.761,4.717,99.99%,37.482,2304
37.464,0.579,99.98%,38.050,2304
37.432,0.000,99.98%,37.438,2176
37.426,0.427,99.97%,37.866,2304
37.144,0.381,99.99%,37.530,2176
29.434,8.995,99.98%,38.436,2304
36.890,0.619,99.98%,37.516,2304
34.837,2.971,99.80%,37.884,2304
38.041,0.000,99.99%,38.047,2304
37.733,0.000,99.99%,37.739,2304
37.582,0.000,99.98%,37.588,2304
34.835,3.023,99.92%,37.890,2304
38.030,0.000,99.98%,38.036,2304
37.405,0.918,99.98%,38.330,2304
34.761,3.130,99.99%,37.896,2304
36.917,0.587,99.98%,37.510,2304
26.540,11.066,99.98%,37.612,2304
29.408,8.633,99.88%,38.087,2304
29.782,8.395,99.99%,38.183,2176
37.388,0.455,99.99%,37.848,2176
38.719,0.000,99.61%,38.871,2304
33.256,4.536,99.89%,37.835,2304
