user_time,system_time,cpu_percent,wallclock_time,max_rss
107.007,48.213,100.26%,154.819,30040
104.861,52.231,100.19%,156.798,30020
92.171,64.243,100.26%,156.010,29624
108.572,48.110,100.21%,156.347,30008
96.201,59.922,100.26%,155.717,30048
92.792,64.945,100.21%,157.408,30120
96.133,60.160,100.20%,155.989,29612
99.896,55.925,100.26%,155.412,29660
84.748,72.784,100.24%,157.157,29692
88.712,68.455,100.25%,156.781,30044
88.209,68.308,100.23%,156.161,29688
94.848,63.023,100.27%,157.453,30080
111.028,47.402,100.38%,157.838,29572
88.015,69.006,100.26%,156.610,30044
97.172,60.799,100.20%,157.660,30136
80.839,76.979,100.04%,157.750,30176
84.958,72.930,100.20%,157.568,30136
100.827,56.719,100.24%,157.165,29952
104.596,52.363,100.24%,156.577,30068
97.246,60.845,100.10%,157.936,30128
93.739,65.099,100.21%,158.501,30064
112.446,46.251,100.34%,158.161,30016
77.441,77.354,100.18%,154.521,29624
88.849,68.759,100.17%,157.347,30016
90.354,67.002,100.17%,157.083,30272
121.526,53.213,99.99%,174.753,30168
82.950,74.900,100.21%,157.521,30028
94.565,63.197,100.24%,157.389,30084
94.845,63.371,100.15%,157.978,30192
94.617,62.817,100.25%,157.042,30044
108.925,48.463,100.18%,157.098,30008
98.457,58.789,100.27%,156.826,29996
106.588,51.128,100.20%,157.398,30012
108.775,48.432,100.29%,156.753,30076
92.105,64.161,100.23%,155.912,30040
84.518,72.584,100.33%,156.581,30044
83.587,71.800,100.30%,154.918,30072
95.840,61.068,100.40%,156.278,30056
98.739,59.402,100.12%,157.947,30080
112.523,44.256,100.17%,156.514,29756
100.501,56.337,100.26%,156.430,30072
84.792,72.810,100.22%,157.262,30076
87.909,68.041,100.16%,155.702,30100
81.423,77.235,100.18%,158.373,30044
78.819,79.066,100.18%,157.599,30156
88.835,68.745,100.47%,156.837,30024
100.057,55.884,100.32%,155.443,29680
92.585,64.510,100.19%,156.803,29812
90.765,66.851,100.14%,157.402,30084
100.068,56.359,100.25%,156.035,29624
102.644,55.055,100.25%,157.311,30012
94.769,63.361,100.27%,157.697,29988
98.405,59.180,100.03%,157.540,30152
92.669,64.382,100.41%,156.403,30076
100.090,56.662,100.33%,156.240,29976
87.096,71.425,100.11%,158.351,30204
90.536,68.203,100.22%,158.391,30052
97.321,60.678,100.28%,157.556,30180
79.882,76.074,100.19%,155.659,29696
103.155,55.369,100.23%,158.153,30080
72.817,85.080,100.26%,157.495,30020
96.382,60.467,100.20%,156.540,30076
89.359,69.126,99.00%,160.089,30072
102.571,55.035,100.20%,157.299,30104
89.192,68.823,100.16%,157.766,30112
109.874,46.823,100.34%,156.174,30028
95.329,63.679,100.09%,158.872,30072
96.578,60.454,100.23%,156.672,30072
100.065,56.152,100.22%,155.871,30140
