user_time,system_time,cpu_percent,wallclock_time,max_rss
319.427,65.668,134.08%,287.216,44888
302.048,76.341,129.16%,292.954,44920
314.042,71.594,133.45%,288.967,45112
318.980,62.321,132.02%,288.825,44856
324.163,60.027,133.07%,288.706,44896
305.141,73.236,130.87%,289.117,44840
319.968,64.058,131.97%,290.997,44972
308.312,67.316,127.30%,295.075,45148
302.369,83.256,133.32%,289.242,44796
305.126,68.506,128.33%,291.140,45020
309.167,77.411,131.55%,293.863,44792
312.840,74.086,133.86%,289.044,44928
325.574,57.705,131.83%,290.733,44420
292.087,87.402,130.12%,291.653,44944
315.874,60.815,129.09%,291.804,44984
289.849,89.493,130.78%,290.068,45024
303.894,84.009,132.79%,292.127,44984
318.032,65.266,132.05%,290.269,44928
316.020,66.521,131.71%,290.450,44916
299.146,70.323,123.67%,298.750,44976
321.066,65.148,132.39%,291.718,44912
335.510,49.866,133.03%,289.682,44736
290.567,79.977,126.86%,292.099,44984
316.958,72.051,133.80%,290.738,44864
309.823,80.625,130.52%,299.150,44992
325.288,64.322,124.24%,313.599,45016
308.486,76.035,132.76%,289.633,44876
310.155,68.188,130.28%,290.400,44932
290.993,78.976,124.78%,296.502,45168
326.478,63.611,133.33%,292.580,44764
336.571,49.255,133.98%,287.982,44856
299.796,72.895,127.53%,292.230,44972
333.155,55.924,134.19%,289.943,45116
332.474,56.741,134.72%,288.906,44924
322.763,64.179,134.70%,287.254,44760
311.111,80.836,135.34%,289.599,44764
299.293,88.499,135.07%,287.102,44920
310.767,76.648,134.50%,288.044,44776
314.339,71.668,133.24%,289.707,44928
321.159,47.775,123.97%,297.604,45244
317.545,72.366,134.90%,289.045,44920
293.997,86.421,130.99%,290.428,44924
296.938,89.198,134.63%,286.813,44948
295.108,82.403,128.92%,292.835,44892
292.599,92.496,132.96%,289.626,44876
322.090,68.759,134.36%,290.895,44872
322.721,65.330,135.01%,287.428,44656
293.134,83.061,129.03%,291.546,44660
303.783,82.063,133.37%,289.311,44932
305.151,77.330,132.53%,288.601,45112
329.167,55.634,133.20%,288.898,44860
313.126,73.524,133.07%,290.552,44836
306.327,74.335,130.79%,291.053,45000
324.989,65.469,134.91%,289.428,44924
316.334,64.803,132.09%,288.551,44824
300.820,74.377,127.36%,294.602,45180
348.213,78.301,135.35%,315.121,45028
309.790,63.827,124.70%,299.623,45028
299.263,82.752,132.90%,287.439,44672
304.655,71.006,128.42%,292.518,44800
265.962,111.758,130.37%,289.737,44740
331.486,60.474,134.84%,290.678,44924
300.180,74.974,123.14%,304.662,44980
324.990,59.305,133.21%,288.490,44952
303.800,71.827,128.77%,291.706,44960
333.847,55.858,135.26%,288.120,44876
289.611,78.608,123.47%,298.218,44920
318.271,67.807,133.17%,289.915,44792
308.867,70.543,131.21%,289.173,44988
297.354,73.005,125.34%,295.486,45076
317.069,70.007,134.52%,287.749,44776
305.151,73.253,129.22%,292.826,44824
377.864,53.671,133.60%,323.012,44988
310.102,77.531,134.30%,288.631,44920
327.018,60.051,133.63%,289.649,44884
315.260,70.983,133.23%,289.898,45156
310.926,74.613,131.99%,292.092,44876
293.344,78.502,126.51%,293.936,45120
321.922,58.515,131.34%,289.668,44660
312.861,73.134,133.69%,288.731,44904
298.632,88.382,134.19%,288.409,44824
307.455,78.658,134.79%,286.461,44852
302.982,85.450,134.88%,287.988,45000
330.725,52.096,131.21%,291.761,44928
309.350,75.131,133.75%,287.459,44872
319.520,67.786,135.02%,286.842,44836
323.012,64.619,134.75%,287.660,44652
319.991,66.491,134.70%,286.931,44896
301.048,85.385,134.09%,288.190,44888
314.215,66.815,131.33%,290.137,45236
323.164,63.859,131.56%,294.185,45004
328.038,59.614,134.43%,288.373,44868
282.803,102.204,134.89%,285.422,44876
313.756,68.402,130.87%,292.021,45004
301.693,76.563,130.35%,290.175,44952
318.771,67.111,133.98%,288.022,44976
313.894,72.793,134.50%,287.497,44936
324.817,61.034,132.73%,290.694,44984
326.192,60.614,134.72%,287.125,44768
333.370,53.521,134.41%,287.839,44956
309.054,68.780,130.14%,290.334,45160
322.134,65.246,134.99%,286.970,44936
288.185,90.491,129.24%,293.013,44836
328.482,59.779,134.00%,289.752,44864
314.080,69.273,131.32%,291.917,45040
316.249,74.249,133.76%,291.932,44828
287.055,87.123,128.57%,291.037,44876
284.823,103.877,134.53%,288.923,44852
323.289,63.214,134.86%,286.603,44872
308.441,64.709,126.94%,293.955,44872
304.413,73.225,127.75%,295.601,44796
311.177,68.179,131.10%,289.362,44760
301.135,87.559,134.24%,289.548,44900
326.078,61.042,135.04%,286.672,44520
317.778,69.269,134.53%,287.695,45060
327.464,52.606,131.31%,289.445,44900
298.106,80.314,130.04%,291.006,45064
315.701,70.615,134.68%,286.837,44880
309.213,77.417,134.59%,287.262,44852
329.458,56.141,134.48%,286.740,44856
335.734,52.643,134.43%,288.912,44760
321.612,64.991,134.45%,287.535,44880
320.999,65.029,133.61%,288.924,44916
320.505,69.158,134.50%,289.702,45108
293.879,80.537,127.81%,292.942,44912
314.473,72.428,133.12%,290.650,44984
317.704,69.144,134.28%,288.084,44796
326.366,61.958,134.27%,289.221,44908
309.493,76.779,134.47%,287.265,44920
314.255,71.423,133.76%,288.332,44648
327.641,60.834,134.82%,288.138,44828
311.350,69.656,132.67%,287.180,44668
331.062,58.158,134.96%,288.391,44848
326.332,64.934,135.37%,289.036,44980
303.872,80.873,132.12%,291.205,45072
317.704,66.018,132.79%,288.977,44856
304.449,81.420,134.88%,286.082,44956
320.301,61.618,132.32%,288.641,45024
317.357,69.837,134.70%,287.444,44840
316.042,56.734,127.58%,292.199,44916
302.027,86.896,134.41%,289.350,44832
332.186,52.797,134.75%,285.709,44952
