user_time,system_time,cpu_percent,wallclock_time,max_rss
42.368,1.995,274.40%,16.167,3735552
41.679,0.854,282.59%,15.051,2228224
41.490,0.705,284.73%,14.819,2064384
41.922,0.755,286.78%,14.882,2736128
41.870,0.805,285.46%,14.950,3735552
41.433,0.631,285.96%,14.710,2179072
41.712,0.627,285.17%,14.847,2080768
41.586,0.766,284.34%,14.895,4554752
41.514,0.635,285.80%,14.748,2080768
41.845,0.906,282.33%,15.142,2228224
41.643,0.767,285.65%,14.847,2080768
41.713,0.896,281.25%,15.150,2228224
44.432,1.676,288.14%,16.002,3735552
41.713,0.895,282.26%,15.096,2260992
41.771,0.747,285.68%,14.883,3735552
41.884,0.801,282.84%,15.092,2097152
41.716,0.768,284.78%,14.918,2064384
41.735,0.721,283.84%,14.958,2228224
41.837,0.713,285.47%,14.905,2080768
41.744,0.721,286.19%,14.838,2080768
41.922,0.849,282.61%,15.134,2097152
41.644,0.659,285.31%,14.827,2392064
41.929,0.767,284.30%,15.018,2277376
41.823,0.691,285.80%,14.875,2097152
43.388,0.804,283.38%,15.595,2818048
42.402,0.717,288.34%,14.954,2293760
41.642,0.641,285.63%,14.803,2080768
41.644,0.702,282.36%,14.997,2064384
41.597,0.742,285.33%,14.838,2228224
41.878,0.696,285.93%,14.890,2097152
42.574,0.779,284.20%,15.255,2244608
41.804,0.826,286.40%,14.885,2736128
42.123,0.835,284.55%,15.097,3751936
41.963,0.838,286.34%,14.948,3735552
46.738,1.139,292.32%,16.378,2818048
43.908,0.957,287.24%,15.619,2392064
41.609,0.699,281.80%,15.014,2080768
41.852,0.800,282.77%,15.084,2113536
41.955,0.632,287.07%,14.835,2080768
41.708,0.827,281.60%,15.105,2080768
41.743,0.690,286.10%,14.832,2064384
42.309,1.022,286.38%,15.131,2228224
41.849,1.165,284.63%,15.112,2834432
42.377,1.579,283.10%,15.527,4554752
43.680,1.085,288.38%,15.523,2326528
62.214,1.549,298.45%,21.364,2162688
41.830,0.798,285.77%,14.917,3735552
41.874,0.721,283.11%,15.045,2080768
42.269,1.399,289.28%,15.095,3735552
42.015,0.806,282.38%,15.164,2392064
