user_time,system_time,cpu_percent,wallclock_time,max_rss
22.417,14.370,83.91%,43.843,44826624
18.444,4.365,214.98%,10.610,37339136
18.172,4.073,212.79%,10.454,39157760
18.497,4.111,208.79%,10.828,37421056
18.116,3.770,216.88%,10.092,37437440
18.308,4.009,212.03%,10.526,37208064
18.110,4.150,213.03%,10.449,36995072
18.137,3.833,215.82%,10.180,37371904
18.627,4.191,206.81%,11.033,37797888
18.428,4.859,209.24%,11.129,37289984
18.260,3.848,214.16%,10.323,37814272
19.258,4.394,202.91%,11.656,37388288
18.726,4.427,203.15%,11.397,44892160
18.113,4.060,213.72%,10.375,37109760
18.450,4.233,208.13%,10.898,37093376
18.175,3.969,213.44%,10.375,37535744
18.418,3.992,211.00%,10.621,37732352
18.417,3.919,216.25%,10.329,36896768
18.182,3.888,214.79%,10.275,37814272
18.251,3.926,213.86%,10.370,37453824
18.095,3.821,216.27%,10.134,37797888
18.335,3.997,211.79%,10.545,37273600
18.286,4.585,211.36%,10.821,37142528
18.363,4.155,210.07%,10.719,37437440
18.359,4.157,210.37%,10.703,37044224
18.103,3.822,215.58%,10.170,37060608
18.399,4.018,210.72%,10.638,37027840
18.563,4.814,211.56%,11.050,37715968
18.174,3.884,215.32%,10.244,37208064
18.284,3.816,214.35%,10.310,37437440
18.048,3.719,218.03%,9.983,37060608
18.603,4.158,207.69%,10.959,37404672
18.145,3.788,216.62%,10.125,37421056
18.254,3.989,213.81%,10.403,37814272
18.714,4.073,212.20%,10.738,37322752
18.142,3.973,214.56%,10.307,36995072
18.261,4.052,211.96%,10.527,39370752
18.072,3.816,216.57%,10.107,37421056
18.528,4.073,208.83%,10.823,37355520
18.173,4.232,212.03%,10.567,39043072
18.559,3.980,209.28%,10.770,37748736
18.329,4.115,210.26%,10.674,44613632
18.138,4.077,213.53%,10.404,37470208
18.798,4.669,200.94%,11.678,37699584
18.077,3.743,217.88%,10.014,36913152
20.863,4.712,224.17%,11.409,45285376
20.065,4.453,219.23%,11.184,39272448
18.144,3.932,214.66%,10.284,37732352
18.501,4.507,204.84%,11.232,45367296
18.189,4.099,212.08%,10.509,37273600
