user_time,system_time,cpu_percent,wallclock_time,max_rss
0.002,0.013,103.45%,0.014,16384
0.003,0.001,121.51%,0.003,16384
0.002,0.001,85.71%,0.004,16384
0.002,0.001,84.70%,0.004,16384
0.003,0.001,120.01%,0.003,16384
0.002,0.001,91.13%,0.003,16384
0.003,0.001,120.01%,0.003,16384
0.003,0.001,100.00%,0.004,16384
0.003,0.005,112.95%,0.007,16384
0.002,0.001,94.73%,0.003,16384
0.003,0.001,117.10%,0.003,16384
0.002,0.001,89.98%,0.003,16384
0.003,0.001,97.97%,0.004,16384
0.002,0.001,85.71%,0.004,16384
0.003,0.001,117.10%,0.003,16384
0.002,0.001,82.76%,0.004,16384
0.003,0.001,115.64%,0.003,16384
0.002,0.001,88.89%,0.003,16384
0.002,0.001,94.76%,0.003,16384
0.002,0.001,87.82%,0.003,16384
0.002,0.001,87.80%,0.003,16384
0.002,0.001,86.76%,0.003,16384
0.002,0.001,88.89%,0.003,16384
0.003,0.001,123.08%,0.003,16384
0.002,0.001,84.70%,0.004,16384
0.003,0.001,114.29%,0.004,16384
0.002,0.001,88.89%,0.003,16384
0.003,0.001,64.00%,0.006,16384
0.002,0.001,94.73%,0.003,16384
0.002,0.001,88.89%,0.003,16384
0.002,0.001,91.13%,0.003,16384
0.003,0.001,117.10%,0.003,16384
0.002,0.001,83.73%,0.004,16384
0.003,0.001,114.29%,0.004,16384
0.002,0.002,118.52%,0.003,16384
0.002,0.001,79.13%,0.004,16384
0.002,0.001,88.89%,0.003,16384
0.002,0.001,98.62%,0.003,16384
0.003,0.000,93.52%,0.003,16384
0.002,0.001,82.76%,0.004,16384
0.002,0.001,87.80%,0.003,16384
0.002,0.001,92.31%,0.003,16384
0.002,0.001,82.76%,0.004,16384
0.002,0.001,96.00%,0.003,16384
0.006,0.004,105.26%,0.009,16384
0.004,0.002,109.09%,0.005,16384
0.002,0.001,85.71%,0.004,16384
0.003,0.001,118.52%,0.003,16384
0.002,0.001,48.00%,0.006,16384
0.002,0.001,90.01%,0.003,16384
