user_time,system_time,cpu_percent,wallclock_time,max_rss
4.003,0.797,46.34%,10.359,3637248
3.778,0.200,99.99%,3.979,245760
3.780,0.275,99.97%,4.056,262144
3.839,0.179,99.97%,4.019,262144
3.800,0.231,99.98%,4.032,327680
3.785,0.276,99.98%,4.062,245760
3.786,0.165,99.96%,3.952,262144
3.909,0.153,99.88%,4.067,212992
3.798,0.277,100.00%,4.075,245760
3.853,0.247,99.60%,4.116,229376
3.861,0.365,99.98%,4.227,245760
3.780,0.199,99.97%,3.980,245760
3.922,0.309,99.93%,4.234,3719168
3.831,0.246,99.99%,4.078,229376
3.782,0.197,99.98%,3.980,212992
3.778,0.234,99.97%,4.013,229376
3.817,0.292,100.00%,4.109,294912
3.788,0.217,100.01%,4.005,229376
3.879,0.272,99.96%,4.153,245760
3.821,0.213,99.97%,4.035,245760
3.781,0.223,99.98%,4.005,294912
3.784,0.209,99.96%,3.994,229376
3.851,0.197,99.95%,4.050,294912
3.776,0.187,99.97%,3.964,327680
3.783,0.203,99.99%,3.986,278528
3.966,0.290,99.59%,4.273,229376
3.781,0.180,99.96%,3.963,245760
3.782,0.240,100.00%,4.022,229376
3.926,0.294,99.95%,4.222,229376
3.773,0.192,100.00%,3.965,327680
3.791,0.237,99.98%,4.029,229376
3.804,0.250,100.02%,4.053,262144
3.787,0.196,100.00%,3.983,229376
3.885,0.326,99.21%,4.244,2097152
3.920,0.189,100.01%,4.109,278528
3.908,0.192,99.94%,4.102,262144
3.765,0.205,99.98%,3.971,245760
3.816,0.199,99.98%,4.016,245760
3.794,0.224,99.99%,4.018,278528
3.772,0.190,99.99%,3.962,229376
3.797,0.305,99.99%,4.102,245760
3.872,0.356,99.96%,4.230,3031040
3.899,0.219,99.51%,4.138,278528
3.997,0.258,99.57%,4.274,360448
3.967,0.319,99.93%,4.289,212992
4.045,0.331,99.98%,4.377,3719168
3.786,0.205,100.00%,3.991,327680
3.793,0.222,99.98%,4.016,245760
3.786,0.273,99.88%,4.064,3719168
3.783,0.227,99.98%,4.011,229376
