user_time,system_time,cpu_percent,wallclock_time,max_rss
5.208,0.381,99.00%,5.646,3735552
5.206,0.284,99.98%,5.491,81920
5.095,0.145,99.95%,5.243,81920
5.088,0.213,100.00%,5.301,81920
5.098,0.281,99.94%,5.382,3735552
5.087,0.164,99.95%,5.254,98304
5.119,0.239,99.98%,5.359,131072
5.100,0.330,99.98%,5.431,4554752
5.096,0.175,99.96%,5.273,147456
5.256,0.313,100.00%,5.569,98304
5.102,0.215,100.01%,5.316,147456
5.276,0.317,99.98%,5.594,81920
5.371,0.291,99.99%,5.663,3735552
5.223,0.361,99.99%,5.584,81920
5.096,0.247,99.99%,5.343,3735552
5.286,0.279,99.89%,5.571,917504
5.099,0.242,99.99%,5.341,81920
5.230,0.238,99.97%,5.470,180224
5.125,0.223,99.95%,5.351,147456
5.079,0.219,100.00%,5.298,114688
5.275,0.331,99.92%,5.610,901120
5.100,0.236,100.00%,5.336,114688
5.167,0.311,99.85%,5.486,868352
5.099,0.225,100.00%,5.324,81920
5.182,0.259,99.99%,5.442,65536
5.086,0.176,99.95%,5.265,98304
5.095,0.197,99.94%,5.295,98304
5.286,0.254,99.98%,5.541,98304
5.103,0.247,99.98%,5.351,98304
5.099,0.228,100.01%,5.326,81920
5.307,0.254,99.94%,5.565,114688
5.084,0.229,99.96%,5.315,81920
5.198,0.325,99.96%,5.525,3751936
5.117,0.248,100.01%,5.365,3735552
5.309,0.261,99.98%,5.571,114688
5.119,0.245,100.01%,5.363,65536
5.279,0.252,99.70%,5.548,81920
5.251,0.325,99.91%,5.581,901120
5.076,0.202,99.92%,5.282,114688
5.266,0.313,99.95%,5.582,65536
5.096,0.198,99.93%,5.298,147456
5.272,0.259,99.89%,5.537,720896
5.124,0.247,100.00%,5.371,114688
5.362,0.365,99.93%,5.731,4554752
5.123,0.205,99.97%,5.329,81920
5.474,0.287,99.99%,5.762,65536
5.107,0.240,100.01%,5.347,3735552
5.256,0.252,99.70%,5.525,147456
5.105,0.254,99.99%,5.360,3735552
5.285,0.342,99.96%,5.629,98304
