user_time,system_time,cpu_percent,wallclock_time,max_rss
40.199,18.516,76.78%,76.473,44826624
31.210,4.906,150.98%,23.921,37339136
30.834,4.693,149.66%,23.739,39157760
31.240,4.566,149.01%,24.030,37421056
30.931,4.385,150.12%,23.524,37437440
31.078,4.619,149.30%,23.910,37208064
30.790,4.608,150.06%,23.589,36995072
31.246,4.337,149.47%,23.806,37371904
31.629,4.889,147.50%,24.759,37797888
31.230,5.400,149.57%,24.491,37289984
31.024,4.540,149.54%,23.783,37814272
31.912,4.919,148.28%,24.839,37388288
31.776,5.204,146.56%,25.232,44892160
31.215,4.701,148.90%,24.122,37109760
31.264,4.819,148.49%,24.300,37093376
31.012,4.544,149.46%,23.790,37535744
31.211,4.593,149.08%,24.017,37732352
31.258,4.433,150.70%,23.684,36896768
31.263,4.506,149.15%,23.982,37814272
30.972,4.437,150.00%,23.606,37453824
30.932,4.389,150.04%,23.540,37797888
31.015,4.537,149.59%,23.766,37273600
31.065,5.085,149.98%,24.103,37142528
31.027,4.664,149.36%,23.895,37437440
31.102,4.670,149.29%,23.962,37044224
31.214,4.434,149.07%,23.914,37060608
31.301,4.616,148.77%,24.142,37027840
31.307,5.326,150.71%,24.306,37715968
31.101,4.525,149.59%,23.815,37208064
30.980,4.311,150.16%,23.502,37437440
30.942,4.284,150.25%,23.444,37060608
31.386,4.729,148.54%,24.314,37404672
30.857,4.260,150.66%,23.308,37421056
31.233,4.642,149.02%,24.074,37814272
31.652,4.566,149.84%,24.171,37322752
31.128,4.474,149.60%,23.798,36995072
30.929,4.563,149.70%,23.709,39370752
31.005,4.335,149.95%,23.567,37421056
31.437,4.668,148.39%,24.332,37355520
30.939,4.714,149.70%,23.817,39043072
31.331,4.629,148.63%,24.195,37748736
31.120,4.740,148.85%,24.092,44613632
31.176,4.583,149.19%,23.968,37470208
32.077,5.345,145.87%,25.654,37699584
31.181,4.453,149.51%,23.835,36913152
34.498,5.334,155.18%,25.668,45285376
33.086,4.975,153.93%,24.727,39272448
31.017,4.468,149.76%,23.695,37732352
31.404,5.181,147.42%,24.817,45367296
31.037,4.648,149.26%,23.908,37273600
