user_time,system_time,cpu_percent,wallclock_time,max_rss
82.583,20.610,110.84%,93.097,60358656
72.901,5.772,201.79%,38.988,45875200
72.340,5.410,201.56%,38.575,47546368
73.180,5.333,201.68%,38.929,46481408
72.816,5.202,202.70%,38.489,49577984
72.534,5.269,201.31%,38.649,45711360
72.514,5.245,202.23%,38.451,45449216
72.847,5.121,201.36%,38.720,50249728
73.157,5.536,199.11%,39.523,46301184
73.089,6.321,200.27%,39.651,45826048
72.681,5.322,201.84%,38.645,46268416
73.641,5.825,198.65%,40.004,45924352
76.225,6.893,201.50%,41.250,60571648
72.942,5.615,200.22%,39.236,45662208
73.046,5.585,200.60%,39.199,49446912
72.911,5.363,201.23%,38.898,46759936
72.942,5.382,201.06%,38.956,46153728
73.007,5.166,202.22%,38.658,45514752
73.112,5.235,201.39%,38.903,46301184
72.732,5.168,202.55%,38.459,45875200
72.869,5.251,201.90%,38.692,47071232
72.674,5.208,201.70%,38.613,45989888
73.007,5.868,201.53%,39.137,46563328
72.863,5.367,201.68%,38.789,45924352
74.506,5.486,202.14%,39.573,46186496
73.631,5.173,202.66%,38.885,45662208
72.965,5.269,200.78%,38.966,45432832
72.964,6.041,200.93%,39.319,46088192
72.713,5.283,201.69%,38.671,45744128
72.870,5.015,202.79%,38.406,45924352
73.528,5.077,203.04%,38.715,45629440
73.206,5.566,200.87%,39.216,46465024
72.996,5.105,203.26%,38.424,49479680
73.210,5.491,201.61%,39.037,51757056
78.407,5.714,207.35%,40.569,46514176
75.051,5.443,204.13%,39.433,45694976
72.551,5.275,200.90%,38.739,47759360
72.872,5.149,201.78%,38.667,46694400
73.413,5.320,200.91%,39.188,45809664
72.659,5.553,200.87%,38.938,47398912
73.097,5.330,200.86%,39.046,46186496
73.442,5.773,201.88%,39.239,56573952
73.042,5.764,201.53%,39.103,46678016
74.469,6.954,197.63%,41.201,50675712
74.881,5.551,204.25%,39.378,45563904
96.731,6.895,220.25%,47.050,57212928
74.928,5.787,203.51%,39.661,51462144
72.904,5.200,201.53%,38.756,46186496
73.692,6.596,201.07%,39.930,60899328
73.064,5.466,200.91%,39.088,45973504
